,SaintKittsNevis,Antigua,Guadeloupe,Montserrat,Dominica,Martinique,SaintLucia,Barbados,SaintVincentGrenadines,Grenada
0,20.0,200.0,140.0,20.0,10.0,140.0,114.01188402480352,140.0,10.0,20.0
1,20.0,200.0,140.0,20.0,10.0,140.0,114.01188402480352,140.0,10.0,20.0
2,20.0,200.0,140.0,20.0,10.0,140.0,114.01188402480352,140.0,10.0,20.0
3,20.0,200.0,140.0,20.0,10.0,140.0,114.01188402480352,140.0,10.0,20.0
4,20.0,200.0,140.0,20.0,10.0,140.0,114.01188402480352,140.0,10.0,20.0
5,20.0,200.0,140.0,20.0,10.0,140.0,114.01188402480352,140.0,10.0,20.0
6,20.0,200.0,140.0,20.0,10.0,140.0,114.01188402480352,140.0,10.0,20.0
7,-0.0,200.0,140.0,20.0,10.0,140.0,114.01188402480352,140.0,10.0,20.0
8,-0.0,200.0,140.0,20.0,10.0,140.0,114.01188402480352,140.0,10.0,20.0
9,-0.0,200.0,140.0,20.0,10.0,140.0,114.01188402480352,140.0,10.0,20.0
10,-0.0,200.0,140.0,20.0,10.0,140.0,114.01188402480352,140.0,10.0,20.0
11,-0.0,200.0,140.0,20.0,10.0,140.0,114.01188402480352,140.0,10.0,20.0
12,-0.0,200.0,140.0,20.0,10.0,140.0,114.01188402480352,140.0,10.0,20.0
13,-0.0,200.0,140.0,20.0,10.0,140.0,114.01188402480352,140.0,10.0,20.0
14,-0.0,200.0,140.0,20.0,10.0,140.0,114.01188402480352,140.0,10.0,20.0
15,-0.0,200.0,140.0,20.0,10.0,140.0,114.01188402480352,140.0,10.0,20.0
16,20.0,200.0,140.0,20.0,10.0,140.0,114.01188402480352,200.0,10.0,20.0
17,200.0,200.0,200.0,20.0,10.0,200.0,200.0,200.0,10.0,20.0
18,200.0,200.0,200.0,20.0,10.0,200.0,200.0,200.0,10.0,20.0
19,200.0,200.0,200.0,20.0,10.0,200.0,200.0,200.0,10.0,20.0
20,200.0,200.0,200.0,20.0,10.0,200.0,200.0,200.0,10.0,20.0
21,200.0,200.0,200.0,20.0,10.0,200.0,200.0,200.0,10.0,20.0
22,200.0,200.0,200.0,20.0,10.0,200.0,200.0,200.0,10.0,20.0
23,200.0,200.0,200.0,20.0,10.0,200.0,200.0,200.0,10.0,20.0
24,200.0,200.0,200.0,20.0,10.0,200.0,200.0,200.0,10.0,20.0
25,200.0,200.0,200.0,20.0,10.0,200.0,200.0,200.0,10.0,20.0
26,200.0,200.0,200.0,20.0,10.0,200.0,200.0,200.0,10.0,20.0
27,200.0,200.0,200.0,20.0,10.0,200.0,200.0,200.0,10.0,20.0
28,200.0,200.0,200.0,20.0,10.0,200.0,200.0,200.0,10.0,20.0
29,200.0,200.0,200.0,20.0,10.0,200.0,200.0,200.0,10.0,20.0
30,200.0,200.0,200.0,20.0,10.0,200.0,200.0,200.0,10.0,20.0
31,200.0,200.0,200.0,20.0,10.0,200.0,200.0,200.0,10.0,20.0
32,200.0,200.0,200.0,20.0,10.0,200.0,200.0,200.0,10.0,20.0
33,200.0,200.0,200.0,20.0,20.0,200.0,200.0,200.0,10.0,20.0
34,200.0,200.0,200.0,20.0,20.0,200.0,200.0,200.0,10.0,20.0
35,200.0,200.0,200.0,20.0,20.0,200.0,200.0,200.0,10.0,20.0
36,200.0,200.0,200.0,20.0,20.0,200.0,200.0,200.0,10.0,20.0
37,200.0,200.0,200.0,20.0,20.0,200.0,200.0,200.0,10.0,20.0
38,200.0,200.0,200.0,20.0,20.0,200.0,200.0,200.0,10.0,20.0
39,200.0,200.0,200.0,200.0,20.0,200.0,200.0,200.0,200.0,200.0
40,200.0,200.0,200.0,200.0,10.0,200.0,200.0,200.0,200.0,200.0
41,200.0,200.0,200.0,200.0,10.0,200.0,200.0,200.0,200.0,200.0
42,200.0,200.0,200.0,200.0,20.0,200.0,200.0,200.0,200.0,200.0
43,200.0,200.0,200.0,200.0,20.0,200.0,200.0,200.0,200.0,200.0
44,200.0,200.0,200.0,200.0,20.0,200.0,200.0,200.0,200.0,200.0
45,200.0,200.0,200.0,200.0,10.0,200.0,200.0,200.0,200.0,200.0
46,200.0,200.0,200.0,200.0,10.0,200.0,200.0,200.0,200.0,200.0
47,200.0,200.0,200.0,200.0,10.0,200.0,200.0,200.0,200.0,200.0
48,200.0,200.0,200.0,200.0,10.0,200.0,200.0,200.0,200.0,200.0
49,200.0,200.0,200.0,200.0,10.0,200.0,200.0,200.0,200.0,200.0
50,200.0,200.0,200.0,200.0,10.0,200.0,200.0,200.0,200.0,200.0
51,200.0,200.0,200.0,200.0,10.0,200.0,200.0,200.0,200.0,200.0
52,200.0,200.0,200.0,200.0,10.0,200.0,200.0,200.0,200.0,200.0
53,200.0,200.0,200.0,200.0,10.0,200.0,200.0,200.0,200.0,200.0
54,200.0,200.0,200.0,200.0,10.0,200.0,200.0,200.0,200.0,200.0
55,200.0,200.0,200.0,200.0,10.0,200.0,200.0,200.0,200.0,200.0
56,200.0,200.0,200.0,200.0,20.0,200.0,200.0,200.0,200.0,200.0
57,200.0,200.0,200.0,200.0,20.0,200.0,200.0,200.0,200.0,200.0
58,200.0,200.0,200.0,200.0,20.0,200.0,200.0,200.0,200.0,200.0
59,200.0,200.0,200.0,200.0,20.0,200.0,200.0,200.0,200.0,200.0
60,200.0,200.0,200.0,200.0,20.0,200.0,200.0,200.0,200.0,200.0
61,200.0,200.0,200.0,200.0,20.0,200.0,200.0,200.0,200.0,200.0
62,200.0,200.0,200.0,200.0,20.0,200.0,200.0,200.0,200.0,200.0
63,200.0,200.0,200.0,200.0,20.0,200.0,200.0,200.0,200.0,200.0
64,200.0,200.0,200.0,200.0,10.0,200.0,200.0,200.0,200.0,200.0
65,200.0,200.0,200.0,200.0,10.0,200.0,200.0,200.0,200.0,200.0
66,200.0,200.0,200.0,200.0,20.0,200.0,200.0,200.0,200.0,200.0
67,200.0,200.0,200.0,200.0,20.0,200.0,200.0,200.0,200.0,200.0
68,200.0,200.0,200.0,200.0,20.0,200.0,200.0,200.0,200.0,200.0
69,200.0,200.0,200.0,200.0,20.0,200.0,200.0,200.0,200.0,200.0
70,200.0,200.0,200.0,200.0,10.0,200.0,200.0,200.0,200.0,200.0
71,200.0,200.0,200.0,200.0,10.0,200.0,200.0,200.0,200.0,200.0
72,200.0,200.0,200.0,200.0,10.0,200.0,200.0,200.0,200.0,200.0
73,200.0,200.0,200.0,200.0,10.0,200.0,200.0,200.0,200.0,200.0
74,200.0,200.0,200.0,200.0,10.0,200.0,200.0,200.0,200.0,200.0
75,200.0,200.0,200.0,200.0,10.0,200.0,200.0,200.0,200.0,200.0
76,200.0,200.0,200.0,200.0,10.0,200.0,200.0,200.0,200.0,200.0
77,200.0,200.0,200.0,200.0,10.0,200.0,200.0,200.0,200.0,200.0
78,200.0,200.0,200.0,200.0,10.0,200.0,200.0,200.0,200.0,200.0
79,200.0,200.0,200.0,200.0,10.0,200.0,200.0,200.0,200.0,200.0
80,200.0,200.0,200.0,200.0,20.0,200.0,200.0,200.0,200.0,200.0
81,200.0,200.0,200.0,200.0,20.0,200.0,200.0,200.0,200.0,200.0
