name,bus,p_nom_extendable,p_nom_max,capital_cost,build_year,cyclic_state_of_charge,max_hours,p_nom_opt
ATG Storage,Antigua,True,70.0,31132.0,0,True,2.0,70.0
BRB Storage,Barbados,True,200.0,31132.0,0,True,2.0,200.0
DMA Storage,Dominica,True,20.0,31132.0,0,True,2.0,-0.0
GLP Storage,Guadeloupe,True,320.0,31132.0,0,True,2.0,320.0
GRD Storage,Grenada,True,45.0,31132.0,0,True,2.0,45.0
LCA Storage,SaintLucia,True,75.0,31132.0,0,True,2.0,75.0
MSR Storage,Montserrat,True,3.0,31132.0,0,True,2.0,2.1624177495735633
MTQ Storage,Martinique,True,250.0,31132.0,0,True,2.0,250.0
SKN Storage,SaintKittsNevis,True,45.0,31132.0,0,True,2.0,45.0
SVG Storage,SaintVincentGrenadines,True,30.0,31132.0,0,True,2.0,30.0
