name,bus,p_nom_extendable,p_nom_max,capital_cost,build_year,cyclic_state_of_charge,max_hours,p_nom_opt
ATG Storage,Antigua,True,70.0,90213.0,0,True,6.0,70.0
BRB Storage,Barbados,True,200.0,90213.0,0,True,6.0,200.0
DMA Storage,Dominica,True,20.0,90213.0,0,True,6.0,-0.0
GLP Storage,Guadeloupe,True,320.0,90213.0,0,True,6.0,218.58064901371915
GRD Storage,Grenada,True,45.0,90213.0,0,True,6.0,40.95496270134777
LCA Storage,SaintLucia,True,75.0,90213.0,0,True,6.0,73.12333618421464
MSR Storage,Montserrat,True,3.0,90213.0,0,True,6.0,1.0000029650029856
MTQ Storage,Martinique,True,250.0,90213.0,0,True,6.0,250.0
SKN Storage,SaintKittsNevis,True,45.0,90213.0,0,True,6.0,41.221411890674794
SVG Storage,SaintVincentGrenadines,True,30.0,90213.0,0,True,6.0,30.0
