,MSR geothermal,GLP geothermal,DMA geothermal,MTQ geothermal,LCA geothermal,SKN geothermal,SVG geothermal,GRD geothermal,ATG wind,ATG solar pv,GLP wind,GLP solar pv,DMA wind,DMA solar pv,MTQ wind,MTQ solar pv,SKN solar pv,SKN wind,BRB solar pv,BRB wind
0,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.4264,0.0,0.452,0.0,0.5296,0.0,0.5672,0.0,0.0,0.4536,0.0,0.6432
1,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.4352,0.0,0.4544,0.0,0.5232,0.0,0.5584,0.0,0.0,0.4568,0.0,0.6392
2,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.432,0.0,0.4528,0.0,0.5248,0.0,0.5528,0.0,0.0,0.4472,0.0,0.6328
3,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.4224,0.0,0.4512,0.0,0.5296,0.0,0.5544,0.0,0.0,0.4432,0.0,0.628
4,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.416,0.0,0.4496,0.0,0.5352,0.0,0.5592,0.0,0.0,0.4552,0.0,0.6232
5,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.4152,0.0,0.436,0.0,0.5216,0.0,0.548,0.0,0.0,0.464,0.0,0.6176
6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.4144,0.0008,0.4192,0.0024,0.4976,0.0032,0.5264,0.0032,0.0,0.4608,0.008,0.6184
7,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.4056,0.1216,0.4072,0.12,0.48,0.1312,0.5096,0.1104,0.1352,0.4536,0.1208,0.6232
8,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.3936,0.2832,0.3992,0.268,0.4784,0.2912,0.5072,0.26,0.3064,0.444,0.2664,0.6296
9,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.3768,0.4208,0.3864,0.3712,0.4728,0.4056,0.508,0.3904,0.4344,0.4224,0.3936,0.6304
10,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.3392,0.532,0.3536,0.4504,0.4456,0.4744,0.4944,0.4848,0.5184,0.3904,0.4752,0.6224
11,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.3,0.5728,0.3152,0.4984,0.4088,0.508,0.4736,0.5368,0.5624,0.3664,0.5184,0.6056
12,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.2768,0.576,0.2848,0.5184,0.3784,0.4952,0.4536,0.5448,0.5728,0.3416,0.5112,0.5816
13,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.26,0.5392,0.2664,0.5048,0.3544,0.4288,0.4368,0.5072,0.5416,0.3056,0.4568,0.5552
14,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.2392,0.4616,0.264,0.4272,0.348,0.3392,0.4288,0.4272,0.452,0.2672,0.3736,0.528
