name,bus,p_nom_extendable,p_nom_max,capital_cost,build_year,cyclic_state_of_charge,max_hours,p_nom_opt
ATG Storage,Antigua,True,70.0,90213.0,0,True,6.0,26.673996545801554
BRB Storage,Barbados,True,200.0,90213.0,0,True,6.0,130.2093220338983
DMA Storage,Dominica,True,20.0,90213.0,0,True,6.0,-0.0
GLP Storage,Guadeloupe,True,320.0,90213.0,0,True,6.0,320.0
GRD Storage,Grenada,True,45.0,90213.0,0,True,6.0,45.0
LCA Storage,SaintLucia,True,75.0,90213.0,0,True,6.0,51.420274375780195
MSR Storage,Montserrat,True,3.0,90213.0,0,True,6.0,2.0217746413798614
MTQ Storage,Martinique,True,250.0,90213.0,0,True,6.0,250.0
SKN Storage,SaintKittsNevis,True,45.0,90213.0,0,True,6.0,44.77611590652439
SVG Storage,SaintVincentGrenadines,True,30.0,90213.0,0,True,6.0,26.561373476416488
