name,bus,p_nom_max,max_hours,p_nom_extendable,cyclic_state_of_charge,capital_cost,build_year,p_nom_opt
SKN Storage,SaintKittsNevis,45.0,8.0,True,True,52145.0,0,29.461746287411945
ATG Storage,Antigua,70.0,8.0,True,True,52145.0,0,69.4535225216526
MSR Storage,Montserrat,3.0,8.0,True,True,52145.0,0,0.7999999999999998
GLP Storage,Guadeloupe,320.0,8.0,True,True,52145.0,0,223.18267620526316
DMA Storage,Dominica,20.0,8.0,True,True,52145.0,0,-0.0
MTQ Storage,Martinique,250.0,8.0,True,True,52145.0,0,207.72153993512802
LCA Storage,SaintLucia,75.0,8.0,True,True,52145.0,0,35.78513336419691
BRB Storage,Barbados,200.0,8.0,True,True,52145.0,0,200.0
SVG Storage,SaintVincentGrenadines,30.0,8.0,True,True,52145.0,0,9.292121100064815
GRD Storage,Grenada,45.0,8.0,True,True,52145.0,0,32.7741317734609
