,SKN diesel,SKN solar pv,SKN wind,SKN geothermal,ATG diesel,ATG wind,ATG solar pv,MSR diesel,MSR geothermal,MSR solar pv,GLP diesel,GLP hydro,GLP geothermal,GLP wind,GLP solar pv,GLP biomass,DMA hydro,DMA geothermal,MTQ diesel,MTQ wind,MTQ solar pv,MTQ biomass,MTQ geothermal,LCA diesel,LCA wind,LCA solar pv,BRB diesel,BRB solar pv,BRB wind,SVG diesel,SVG solar pv,SVG wind,SVG hydro,GRD diesel,GRD solar pv,GRD wind,GRD geothermal
0,-0.0,-0.0,16.05882745880626,-0.0,-0.0,26.650000000000002,-0.0,-0.0,1.5,-0.0,-0.0,-0.0,-0.0,139.3729397895339,-0.0,-0.0,6.6,6.0,-0.0,141.79999999999998,-0.0,-0.0,-0.0,-0.0,47.4,-0.0,-0.0,-0.0,60.300000000000004,-0.0,-0.0,18.0,-0.0,-0.0,-0.0,26.3,-0.0
1,-0.0,-0.0,16.17211724687544,-0.0,-0.0,27.200000000000003,-0.0,-0.0,1.5,-0.0,-0.0,-0.0,-0.0,140.1129730981509,-0.0,-0.0,6.6,5.1,-0.0,139.6,-0.0,-0.0,-0.0,-0.0,43.4,-0.0,-0.0,-0.0,59.925000000000004,-0.0,-0.0,17.0,-0.0,-0.0,-0.0,24.7,-0.0
2,-0.0,-0.0,15.832247882667904,-0.0,-0.0,27.0,-0.0,-0.0,1.5,-0.0,-0.0,-0.0,-0.0,139.61961755907288,-0.0,-0.0,6.6,5.0,-0.0,138.2,-0.0,-0.0,-0.0,-0.0,42.3,-0.0,-0.0,-0.0,59.325,-0.0,-0.0,16.6,-0.0,-0.0,-0.0,24.1,-0.0
3,-0.0,-0.0,15.690635647581429,0.08272321670634675,-0.0,26.400000000000002,-0.0,-0.0,1.46,-0.0,-0.0,15.0,-0.0,139.1262620199949,-0.0,-0.0,6.6,4.9,-0.0,138.6,-0.0,-0.0,-0.0,-0.0,42.9,-0.0,-0.0,-0.0,58.875,-0.0,-0.0,16.3,-0.0,-0.0,-0.0,23.3,-0.0
4,-0.0,-0.0,16.11547235284085,-0.0,-0.0,26.0,-0.0,-0.0,1.46,-0.0,-0.0,-0.0,-0.0,138.63290648091692,-0.0,-0.0,6.6,4.800000000000001,-0.0,139.79999999999998,-0.0,-0.0,-0.0,-0.0,41.5,-0.0,-0.0,-0.0,58.425000000000004,-0.0,-0.0,16.1,-0.0,-0.0,-0.0,23.4,-0.0
5,-0.0,-0.0,16.427019270031096,-0.0,-0.0,25.95,-0.0,-0.0,1.42,-0.0,-0.0,1.5685564883407324,-0.0,134.43938439875396,-0.0,-0.0,6.6,4.5,-0.0,137.0,-0.0,-0.0,-0.0,-0.0,42.1,-0.0,-0.0,-0.0,57.9,-0.0,-0.0,16.3,-0.0,-0.0,-0.0,23.5,-0.0
6,-0.0,-0.0,16.313729481961914,-0.0,-0.0,25.900000000000002,0.15420485175202162,-0.0,1.407464147468581,0.0025358525314189253,-0.0,-0.0,-0.0,129.25915123843498,1.1972613210074305,-0.0,6.6,4.200000000000001,-0.0,131.6,1.5691821353534186,-0.0,-0.0,-0.0,40.9,-0.0,-0.0,5.262403630937571,57.975,-0.0,-0.0,15.5,-0.0,-0.0,-0.0,22.6,-0.0
7,-0.0,10.648484714291332,16.05882745880626,-0.0,-0.0,25.35,23.439137466307287,-0.0,1.5,0.36009105946148734,-0.0,-0.0,-0.0,125.55898469535002,59.86306605037152,-0.0,6.6,4.4,-0.0,127.4,54.136783669692946,-0.0,-0.0,-0.0,41.6,-0.0,-0.0,79.46229482715732,23.637705172842672,-0.0,2.125768383759378,18.07231583744825,-0.0,-0.0,-0.0,22.8,-0.0
8,-0.0,24.13236476670757,15.718958094598722,-0.0,-0.0,24.6,54.58851752021565,-0.0,1.3783985300888428,0.8875483859966237,-0.0,-0.0,-0.0,123.09220699996003,133.69418084582975,-0.0,6.6,5.300000000000001,-0.0,126.8,127.49604849746525,-0.0,-0.0,-0.0,21.212528161619634,22.887471838380367,-0.0,126.32686831634503,-0.0,-0.0,5.419541373979953,13.522119432889898,-0.0,-0.0,-0.0,24.5,-0.0
9,-0.0,34.21377041337392,14.22877698457905,-0.0,-0.0,17.858571428571423,81.11175202156338,-0.0,0.293892536193578,1.316107463806422,-0.0,15.0,-0.0,119.14536268733606,185.17641764914927,-0.0,6.6,6.0,-0.0,118.64401395555038,191.44022051311705,-0.0,-0.0,-0.0,9.065475010106596,36.8345249898934,-0.0,258.9102586421285,46.9052381248444,-0.0,8.23935437624904,18.852766723815787,-0.0,-0.0,-0.0,26.0,-0.0
