name,bus,p_nom_max,max_hours,p_nom_extendable,cyclic_state_of_charge,capital_cost,build_year,p_nom_opt
SKN Storage,SaintKittsNevis,45.0,8.0,True,True,74493.0,0,21.862547397952973
ATG Storage,Antigua,70.0,8.0,True,True,74493.0,0,56.560323450134796
MSR Storage,Montserrat,3.0,8.0,True,True,74493.0,0,0.7759469160854664
GLP Storage,Guadeloupe,320.0,8.0,True,True,74493.0,0,146.6734259027847
DMA Storage,Dominica,20.0,8.0,True,True,74493.0,0,-0.0
MTQ Storage,Martinique,250.0,8.0,True,True,74493.0,0,131.78423446866745
LCA Storage,SaintLucia,75.0,8.0,True,True,74493.0,0,32.244139130103406
BRB Storage,Barbados,200.0,8.0,True,True,74493.0,0,188.6154967669729
SVG Storage,SaintVincentGrenadines,30.0,8.0,True,True,74493.0,0,9.292121100064826
GRD Storage,Grenada,45.0,8.0,True,True,74493.0,0,18.178360948291708
