,SKN diesel,SKN geothermal,ATG diesel,MSR diesel,GLP diesel,GLP coal,GLP hydro,GLP geothermal,GLP biomass,DMA diesel,MTQ diesel,MTQ biomass,MTQ geothermal,LCA diesel,LCA geothermal,BRB diesel,BRB biomass,SVG diesel,SVG geothermal,SVG hydro,GRD diesel,GRD geothermal,GRD hydro
0,220.0,-0.0,240.0,220.0,240.0,100.0,10.0,20.0,140.0,220.0,240.0,140.0,20.0,240.0,20.0,240.0,140.0,240.0,20.0,10.0,240.0,20.0,10.0
1,220.0,-0.0,240.0,220.0,240.0,100.0,10.0,20.0,140.0,220.0,240.0,140.0,20.0,240.0,20.0,240.0,140.0,240.0,20.0,10.0,240.0,20.0,10.0
2,220.0,-0.0,240.0,220.0,240.0,100.0,10.0,20.0,140.0,220.0,240.0,140.0,20.0,240.0,20.0,240.0,140.0,240.0,20.0,10.0,240.0,20.0,10.0
3,220.0,-0.0,240.0,220.0,240.0,100.0,10.0,20.0,140.0,220.0,240.0,140.0,20.0,240.0,20.0,240.0,140.0,240.0,20.0,10.0,240.0,20.0,10.0
4,220.0,-0.0,240.0,220.0,240.0,100.0,10.0,20.0,140.0,220.0,240.0,140.0,20.0,240.0,20.0,240.0,140.0,240.0,20.0,10.0,240.0,20.0,10.0
5,220.0,-0.0,240.0,220.0,240.0,100.0,10.0,20.0,140.0,220.0,240.0,140.0,20.0,240.0,20.0,240.0,140.0,240.0,20.0,10.0,240.0,20.0,10.0
6,220.0,-0.0,240.0,220.0,240.0,100.0,10.0,20.0,140.0,220.0,240.0,140.0,20.0,240.0,20.0,240.0,140.0,240.0,20.0,10.0,240.0,20.0,10.0
7,220.0,-0.0,240.0,220.0,240.0,100.0,10.0,20.0,140.0,220.0,240.0,140.0,20.0,240.0,20.0,240.0,140.0,240.0,20.0,10.0,240.0,20.0,10.0
8,220.0,-0.0,240.0,220.0,240.0,100.0,10.0,20.0,140.0,220.0,240.0,140.0,20.0,240.0,20.0,240.0,140.0,240.0,20.0,10.0,240.0,20.0,10.0
9,220.0,-0.0,240.0,220.0,240.0,100.0,10.0,20.0,140.0,220.0,240.0,140.0,20.0,240.0,20.0,240.0,140.0,240.0,20.0,10.0,240.0,20.0,10.0
10,240.0,20.0,240.0,220.0,240.0,100.0,10.0,20.0,140.0,220.0,240.0,140.0,20.0,240.0,20.0,240.0,140.0,240.0,20.0,10.0,240.0,20.0,10.0
11,240.0,20.0,240.0,220.0,240.0,100.0,10.0,20.0,140.0,220.0,240.0,140.0,20.0,240.0,20.0,240.0,140.0,240.0,20.0,10.0,240.0,20.0,10.0
12,240.0,20.0,240.0,220.0,240.0,100.0,10.0,20.0,140.0,220.0,240.0,140.0,20.0,240.0,20.0,240.0,140.0,240.0,20.0,10.0,240.0,20.0,10.0
13,240.0,20.0,240.0,220.0,240.0,100.0,10.0,20.0,140.0,220.0,240.0,140.0,20.0,240.0,20.0,240.0,140.0,240.0,20.0,10.0,240.0,20.0,10.0
