,SKN diesel,SKN solar pv,SKN wind,SKN geothermal,ATG diesel,ATG wind,ATG solar pv,MSR diesel,MSR geothermal,MSR solar pv,GLP diesel,GLP hydro,GLP geothermal,GLP wind,GLP solar pv,GLP biomass,DMA hydro,DMA geothermal,MTQ diesel,MTQ wind,MTQ solar pv,MTQ biomass,MTQ geothermal,LCA diesel,LCA wind,LCA solar pv,LCA geothermal,BRB diesel,BRB solar pv,BRB wind,SVG diesel,SVG solar pv,SVG wind,SVG hydro,GRD diesel,GRD solar pv,GRD wind,GRD geothermal
0,-0.0,-0.0,14.177243332305215,-0.0,-0.0,26.650000000000002,-0.0,-0.0,1.5132743992462856,-0.0,-0.0,-0.0,-0.0,125.21506717805663,-0.0,-0.0,6.6,6.0,-0.0,141.79999999999998,-0.0,-0.0,-0.0,-0.0,47.4,-0.0,-0.0,-0.0,-0.0,60.300000000000004,-0.0,-0.0,18.0,-0.0,-0.0,-0.0,26.3,-0.0
1,-0.0,-0.0,14.277259158282677,-0.0,-0.0,27.200000000000003,-0.0,-0.0,1.5132743992462856,-0.0,-0.0,-0.0,-0.0,125.87992594183392,-0.0,-0.0,6.6,5.1,-0.0,139.6,-0.0,-0.0,-0.0,-0.0,43.4,-0.0,-0.0,-0.0,-0.0,59.925000000000004,-0.0,-0.0,17.0,-0.0,-0.0,-0.0,24.7,-0.0
2,-0.0,-0.0,13.977211680350294,-0.0,-0.0,27.0,-0.0,-0.0,1.5132743992462856,-0.0,-0.0,-0.0,-0.0,125.43668676598239,-0.0,-0.0,6.6,5.0,-0.0,138.2,-0.0,-0.0,-0.0,-0.0,42.3,-0.0,-0.0,-0.0,-0.0,59.325,-0.0,-0.0,16.6,-0.0,-0.0,-0.0,24.1,-0.0
3,-0.0,-0.0,13.852191897878466,-0.0,-0.0,26.400000000000002,-0.0,-0.0,1.4467256007537144,-0.0,-0.0,-0.0,-0.0,124.99344759013087,-0.0,-0.0,6.6,4.9,-0.0,138.6,-0.0,-0.0,-0.0,-0.0,42.9,-0.0,-0.0,-0.0,-0.0,58.875,-0.0,-0.0,16.3,-0.0,-0.0,-0.0,23.3,-0.0
4,-0.0,-0.0,14.227251245293946,-0.0,-0.0,26.0,-0.0,-0.0,1.46,-0.0,-0.0,-0.0,-0.0,124.55020841427937,-0.0,-0.0,6.6,4.800000000000001,-0.0,139.79999999999998,-0.0,-0.0,-0.0,-0.0,41.5,-0.0,-0.0,-0.0,-0.0,58.425000000000004,-0.0,-0.0,16.1,-0.0,-0.0,-0.0,23.4,-0.0
5,-0.0,-0.0,14.502294766731966,-0.0,-0.0,25.95,-0.0,-0.0,1.42,-0.0,-0.0,-0.0,-0.0,120.78267541954138,-0.0,-0.0,6.6,4.5,-0.0,137.0,-0.0,-0.0,-0.0,-0.0,42.1,-0.0,-0.0,-0.0,-0.0,57.9,-0.0,-0.0,16.3,-0.0,-0.0,-0.0,23.5,-0.0
6,-0.0,-0.0,14.402278940754504,-0.0,-0.0,25.900000000000002,0.1690597712804913,-0.0,1.407296474724544,0.002703525275455872,-0.0,-0.0,-0.0,116.12866407310032,1.4757249698904644,-0.0,6.6,4.200000000000001,-0.0,131.6,1.5555555555555554,-0.0,-0.0,-0.0,40.9,-0.0,-0.0,-0.0,5.7,57.975,-0.0,-0.0,15.5,-0.0,-0.0,-0.0,22.6,-0.0
7,-0.0,11.78288200746359,14.177243332305215,-0.0,-0.0,25.35,25.697085234634677,-0.0,1.5132743992462856,0.3839005891147338,-0.0,-0.0,-0.0,112.80437025421386,73.7862484945232,-0.0,6.6,4.4,-0.0,127.4,53.66666666666666,-0.0,-0.0,-0.0,41.6,-0.0,-0.0,-0.0,86.07,17.03,-0.0,-0.0,17.730377240754635,-0.0,-0.0,-0.0,22.8,-0.0
8,-0.0,26.70321780389677,13.877195854372832,-0.0,-0.0,24.6,59.84715903329392,-0.0,1.3302310411820621,0.9462338464095551,-0.0,-0.0,-0.0,110.58817437495622,164.7892883044352,-0.0,6.6,5.300000000000001,-0.0,126.8,126.38888888888887,-0.0,-0.0,-0.0,23.20411423653942,20.89588576346058,-0.0,-0.0,109.8,-0.0,-0.0,5.784937126723905,10.815062873276096,-0.0,-0.0,-0.0,24.5,-0.0
9,-0.0,37.85860905356644,13.202089029024965,-0.0,-0.0,19.309731282744593,88.92543969353844,-0.0,0.20687038203840258,1.4031296179615975,-0.0,-0.0,-0.0,107.04226096814399,228.24546200972514,-0.0,6.6,6.0,-0.0,123.21111111111108,189.77777777777774,-0.0,-0.0,-0.0,12.270683849430625,33.62931615056937,-0.0,-0.0,117.2,-0.0,-0.0,7.3910842660727525,20.01516689685384,-0.0,-0.0,-0.0,26.0,-0.0
