name,bus,p_nom,p_nom_extendable,marginal_cost,capital_cost,p_nom_max,p_nom_min,build_year,min_up_time,min_down_time,up_time_before,down_time_before,p_nom_opt
SKN diesel,SaintKittsNevis,0.0,True,240.0,190000.0,inf,0.0,0,0,0,1,0,11.955593440877971
SKN solar pv,SaintKittsNevis,1.5,True,0.0,75772.0,350.0,1.5,0,0,0,1,0,69.72119531043543
SKN wind,SaintKittsNevis,2.2,True,0.0,116276.0,50.0,2.2,0,0,0,1,0,25.00395649436546
SKN geothermal,SaintKittsNevis,0.0,True,20.0,493350.0,30.0,10.0,0,0,0,1,0,11.64938855802983
ATG diesel,Antigua,0.0,True,240.0,190000.0,inf,0.0,0,0,0,1,0,27.68232148090782
ATG wind,Antigua,0.0,True,0.0,116276.0,50.0,0.0,0,0,0,1,0,50.0
ATG solar pv,Antigua,6.0,True,0.0,75772.0,370.0,9.6,0,0,0,1,0,169.0597712804913
MSR diesel,Montserrat,0.0,True,240.0,190000.0,inf,0.0,0,0,0,1,0,0.24026071316209727
MSR geothermal,Montserrat,0.0,True,20.0,493350.0,5.0,1.5,0,0,0,1,0,1.5132743992462856
MSR solar pv,Montserrat,0.0,True,0.0,75772.0,133.0,0.25,0,0,0,1,0,2.703525275455872
GLP diesel,Guadeloupe,0.0,True,240.0,190000.0,inf,0.0,0,0,0,1,0,98.72850121711578
GLP coal,Guadeloupe,0.0,True,100.0,95768.0,0.0,0.0,0,0,0,1,0,-0.0
GLP hydro,Guadeloupe,10.5,True,10.0,160468.0,15.0,10.5,0,0,0,1,0,15.0
GLP geothermal,Guadeloupe,14.7,True,20.0,493350.0,50.0,14.7,0,0,0,1,0,50.0
GLP wind,Guadeloupe,22.1,True,0.0,116276.0,300.0,22.1,0,0,0,1,0,221.61958792576397
GLP solar pv,Guadeloupe,70.0,True,0.0,75772.0,2200.0,70.0,0,0,0,1,0,491.90832329682144
GLP biomass,Guadeloupe,3.7,True,140.0,476000.0,10.0,3.7,0,0,0,1,0,3.7
DMA diesel,Dominica,0.0,True,240.0,190000.0,inf,0.0,0,0,0,1,0,-0.0
DMA hydro,Dominica,6.6,True,10.0,160468.0,8.0,6.6,0,0,0,1,0,6.6
DMA wind,Dominica,0.0,True,0.0,116276.0,150.0,0.0,0,0,0,1,0,-0.0
DMA solar pv,Dominica,0.0,True,0.0,75772.0,1000.0,0.0,0,0,0,1,0,-0.0
DMA geothermal,Dominica,0.0,True,20.0,493350.0,15.0,15.0,0,0,0,1,0,15.0
MTQ diesel,Martinique,0.0,True,240.0,190000.0,inf,0.0,0,0,0,1,0,59.33765432098768
MTQ wind,Martinique,13.0,True,0.0,116276.0,200.0,13.0,0,0,0,1,0,200.0
MTQ solar pv,Martinique,76.7,True,0.0,75772.0,1500.0,76.7,0,0,0,1,0,388.8888888888888
MTQ biomass,Martinique,41.4,True,140.0,476000.0,41.4,41.4,0,0,0,1,0,41.4
MTQ geothermal,Martinique,0.0,True,20.0,493350.0,50.0,0.0,0,0,0,1,0,50.0
LCA diesel,SaintLucia,0.0,True,240.0,190000.0,inf,0.0,0,0,0,1,0,23.6591910152013
LCA wind,SaintLucia,0.0,True,0.0,116276.0,100.0,0.0,0,0,0,1,0,72.76572809798452
LCA solar pv,SaintLucia,6.0,True,0.0,75772.0,800.0,6.0,0,0,0,1,0,81.6245537635179
LCA geothermal,SaintLucia,0.0,True,20.0,493350.0,30.0,0.0,0,0,0,1,0,12.738730040221943
BRB diesel,Barbados,0.0,True,240.0,190000.0,inf,0.0,0,0,0,1,0,53.04544642857141
BRB solar pv,Barbados,67.0,True,0.0,75772.0,570.0,67.0,0,0,0,1,0,570.0
BRB wind,Barbados,0.0,True,0.0,116276.0,75.0,0.0,0,0,0,1,0,75.0
BRB biomass,Barbados,0.0,True,140.0,476000.0,10.0,0.0,0,0,0,1,0,-0.0
SVG diesel,SaintVincentGrenadines,0.0,True,240.0,190000.0,inf,0.0,0,0,0,1,0,6.529464210199569
SVG solar pv,SaintVincentGrenadines,1.8,True,0.0,75772.0,460.0,1.8,0,0,0,1,0,24.935073822085798
SVG wind,SaintVincentGrenadines,0.0,True,0.0,116276.0,60.0,0.0,0,0,0,1,0,25.892842039914413
SVG geothermal,SaintVincentGrenadines,0.0,True,20.0,493350.0,15.0,0.0,0,0,0,1,0,-0.0
SVG hydro,SaintVincentGrenadines,5.6,True,10.0,160468.0,8.0,5.6,0,0,0,1,0,8.0
GRD diesel,Grenada,0.0,True,240.0,190000.0,inf,0.0,0,0,0,1,0,7.780282676900139
GRD solar pv,Grenada,2.0,True,0.0,75772.0,470.0,2.0,0,0,0,1,0,40.035321359277276
GRD wind,Grenada,0.0,True,0.0,116276.0,60.0,0.0,0,0,0,1,0,39.537626183558366
GRD geothermal,Grenada,0.0,True,20.0,493350.0,20.0,0.0,0,0,0,1,0,11.295300206849191
GRD hydro,Grenada,0.0,True,10.0,160468.0,0.0,0.0,0,0,0,1,0,-0.0
