name,bus,p_nom_max,max_hours,p_nom_extendable,cyclic_state_of_charge,capital_cost,build_year,p_nom_opt
SKN Storage,SaintKittsNevis,45.0,8.0,True,True,74493.0,0,25.767783030491252
ATG Storage,Antigua,70.0,8.0,True,True,74493.0,0,65.82517097628303
MSR Storage,Montserrat,3.0,8.0,True,True,74493.0,0,0.7864648875916173
GLP Storage,Guadeloupe,320.0,8.0,True,True,74493.0,0,184.97021828881662
DMA Storage,Dominica,20.0,8.0,True,True,74493.0,0,-0.0
MTQ Storage,Martinique,250.0,8.0,True,True,74493.0,0,134.68888888888884
LCA Storage,SaintLucia,75.0,8.0,True,True,74493.0,0,27.91713595100774
BRB Storage,Barbados,200.0,8.0,True,True,74493.0,0,200.0
SVG Storage,SaintVincentGrenadines,30.0,8.0,True,True,74493.0,0,9.606251162926592
GRD Storage,Grenada,45.0,8.0,True,True,74493.0,0,18.14506109640819
