,SKN diesel,SKN solar pv,SKN wind,SKN geothermal,ATG diesel,ATG wind,ATG solar pv,MSR diesel,MSR geothermal,MSR solar pv,GLP diesel,GLP hydro,GLP geothermal,GLP wind,GLP solar pv,GLP biomass,DMA hydro,DMA geothermal,MTQ diesel,MTQ wind,MTQ solar pv,MTQ biomass,LCA diesel,LCA wind,LCA solar pv,BRB diesel,BRB solar pv,BRB wind,SVG diesel,SVG solar pv,SVG wind,SVG hydro,GRD diesel,GRD solar pv,GRD wind
0,-0.0,-0.0,16.058827458806267,-0.0,-0.0,26.650000000000002,-0.0,-0.0,1.5,-0.0,-0.0,-0.0,-0.0,155.193323038153,-0.0,-0.0,6.6,6.0,-0.0,141.79999999999998,-0.0,-0.0,-0.0,47.4,-0.0,-0.0,-0.0,60.300000000000004,-0.0,-0.0,18.0,-0.0,-0.0,-0.0,26.3
1,-0.0,-0.0,16.172117246875448,-0.0,-0.0,27.200000000000003,-0.0,-0.0,1.5,-0.0,-0.0,-0.0,-0.0,156.01735838171842,-0.0,-0.0,6.6,5.1,-0.0,139.6,-0.0,-0.0,-0.0,43.4,-0.0,-0.0,-0.0,59.925000000000004,-0.0,-0.0,17.0,-0.0,-0.0,-0.0,24.7
2,-0.0,-0.0,15.832247882667911,-0.0,-0.0,27.0,-0.0,-0.0,1.5,-0.0,-0.0,-0.0,-0.0,155.46800148600815,-0.0,-0.0,6.6,5.0,-0.0,138.2,-0.0,-0.0,-0.0,42.3,-0.0,-0.0,-0.0,59.325,-0.0,-0.0,16.6,-0.0,-0.0,-0.0,24.1
3,-0.0,-0.0,15.690635647581436,0.08272321670629346,-0.0,26.400000000000002,-0.0,-0.0,1.46,-0.0,-0.0,-0.0,-0.0,154.91864459029787,-0.0,-0.0,6.6,4.9,-0.0,138.6,-0.0,-0.0,-0.0,42.9,-0.0,-0.0,-0.0,58.875,-0.0,-0.0,16.3,-0.0,-0.0,-0.0,23.3
4,-0.0,-0.0,16.115472352840857,-0.0,-0.0,26.0,-0.0,-0.0,1.46,-0.0,-0.0,-0.0,-0.0,154.36928769458763,-0.0,-0.0,6.6,4.800000000000001,-0.0,139.79999999999998,-0.0,-0.0,-0.0,41.5,-0.0,-0.0,-0.0,58.425000000000004,-0.0,-0.0,16.1,-0.0,-0.0,-0.0,23.4
5,-0.0,-0.0,16.427019270031103,-0.0,-0.0,25.95,-0.0,-0.0,1.42,-0.0,-0.0,-0.0,-0.0,149.69975408105026,-0.0,-0.0,6.6,4.5,-0.0,137.0,-0.0,-0.0,-0.0,42.1,-0.0,-0.0,-0.0,57.9,-0.0,-0.0,16.3,-0.0,-0.0,-0.0,23.5
6,-0.0,-0.0,16.313729481961925,-0.0,-0.0,25.900000000000002,0.15420485175202162,-0.0,1.407464147468581,0.0025358525314189253,-0.0,-0.0,-0.0,143.93150667609237,1.3983668095753414,-0.0,6.6,4.200000000000001,-0.0,131.6,2.1944716722211335,-0.0,-0.0,40.9,-0.0,-0.0,5.262403630937571,57.975,-0.0,-0.0,15.5,-0.0,-0.0,-0.0,22.6
7,-0.0,10.64848471429133,16.058827458806267,-0.0,-0.0,25.35,23.439137466307287,-0.0,1.5,0.36009105946148734,-0.0,-0.0,-0.0,139.81132995826528,69.91834047876706,-0.0,6.6,4.4,-0.0,127.4,31.099999999999994,-0.0,-0.0,41.6,-0.0,-0.0,79.46229482715732,23.637705172842672,-0.0,2.125768383759374,18.072315837448258,-0.0,-0.0,-0.0,22.8
8,-0.0,24.13236476670757,15.718958094598731,-0.0,-0.0,24.6,54.58851752021565,-0.0,1.3783985300888428,0.8875483859966237,-0.0,-0.0,-0.0,137.0645454797139,156.15096040257978,-0.0,6.6,5.300000000000001,-0.0,-0.0,168.0,-0.0,-0.0,21.212528161619634,22.887471838380367,-0.0,126.32686831634503,-0.0,-0.0,5.419541373979943,13.522119432889928,-0.0,-0.0,-0.0,24.5
9,-0.0,34.21377041337392,14.228776984579042,-0.0,-0.0,17.858571428571423,81.11175202156338,-0.0,0.293892536193578,1.316107463806422,-0.0,-0.0,-0.0,132.6696903140317,216.28073321431947,-0.0,6.6,6.0,-0.0,-0.0,243.17306410507751,-0.0,-0.0,9.065475010106596,36.8345249898934,-0.0,258.9102586421285,46.9052381248444,-0.0,8.239354376249047,18.852766723815794,-0.0,-0.0,-0.0,26.0
10,-0.0,36.061193253513004,13.821354144439963,-0.0,-0.0,21.2,79.9603234501348,-0.0,-0.0,1.630553177702369,-0.0,-0.0,-0.0,118.25895905293902,262.4268379303057,-0.0,6.6,6.6,-0.0,123.6,263.12766124289357,-0.0,-0.0,48.0,-0.0,-0.0,312.5867756776917,0.4287210892811686,-0.0,11.796846525258065,16.195274574806774,-0.0,-0.0,18.395664415311735,9.004335584688263
11,-0.0,38.05086666403186,12.971680733921115,-0.0,-0.0,18.75,84.1903234501348,-0.0,-0.0,1.7750967719932473,-0.0,-0.0,-0.0,108.2233084549244,282.16248852832035,-0.0,6.6,7.200000000000001,-0.0,25.305038227798434,368.12262301509514,-0.0,-0.0,50.0,-0.0,-0.0,314.6154967669729,-0.0,-0.0,12.030447446550303,16.861673653514536,-0.0,-0.0,-0.0,28.0
12,-0.0,45.1142902688319,6.348257129121073,-0.0,-0.0,-0.0,103.0203234501348,-0.0,0.7354916187780294,1.8004552973074368,-0.0,-0.0,-0.0,97.78552743642915,294.3002695468155,-0.0,6.6,6.9,-0.0,21.118859047245564,373.60880219564797,-0.0,-0.0,50.6,-0.0,-0.0,263.59049676697293,54.525,-0.0,11.680046064611945,17.212075035452898,-0.0,-0.0,-0.0,28.4
13,-0.0,38.933372637346274,10.819174760606693,-0.0,-0.0,-0.0,101.45032345013479,-0.0,0.09753806933478737,1.6990211960506798,-0.0,-0.0,-0.0,83.26264470256461,294.12315228068013,-0.0,6.6,6.300000000000001,-0.0,38.00390119584392,347.82376004704963,-0.0,-0.0,47.9,-0.0,-0.0,300.48324732653526,11.432249440437658,-0.0,11.142763945639794,16.549357154425046,-0.0,-0.0,19.188580984937243,7.411419015062759
14,-0.0,35.599963689790535,9.459697303776533,-0.0,-0.0,9.13412398921831,88.97619946091648,-0.0,0.8830468257080979,1.4429000903773683,-0.0,-0.0,-0.0,90.64388779219557,248.90929210441078,-0.0,6.6,5.5,-0.0,107.2,267.4276612428936,-0.0,-0.0,45.0,-0.0,-0.0,245.75424956478457,49.5,-0.0,9.424645239183103,17.267475860881735,-0.0,-0.0,-0.0,25.5
15,-0.0,22.68316270499928,8.525056552205797,10.0,-0.0,13.8,64.30342318059301,-0.0,-0.0,0.9636239619391915,-0.0,-0.0,-0.0,92.56663692718153,185.9827856735204,-0.0,6.6,5.0,-0.0,108.2,205.18310135267598,-0.0,-0.0,9.705217363641488,33.79478263635851,-0.0,167.87067582690852,47.175,-0.0,7.848990955419228,16.80408314710101,-0.0,-0.0,-0.0,24.8
16,-0.0,9.892379290791354,7.986930058877191,-0.0,-0.0,13.15,24.67277628032346,-0.0,1.5,0.37023446958716305,-0.0,-0.0,-0.0,94.76406451002264,90.42772035253874,-0.0,6.6,5.300000000000001,-0.0,111.80000000000001,96.00813565967458,-0.0,-0.0,25.955587747477374,17.344412252522623,-0.0,72.09492974384473,45.449999999999996,-0.0,3.854415201321942,16.608970425509128,-0.0,-0.0,-0.0,24.4
