name,bus,p_nom_max,max_hours,p_nom_extendable,cyclic_state_of_charge,capital_cost,build_year,p_nom_opt
SKN Storage,SaintKittsNevis,45.0,8.0,True,True,74493.0,0,21.86254739795297
ATG Storage,Antigua,70.0,8.0,True,True,74493.0,0,56.560323450134796
MSR Storage,Montserrat,3.0,8.0,True,True,74493.0,0,0.7759469160854664
GLP Storage,Guadeloupe,320.0,8.0,True,True,74493.0,0,174.9857969832447
DMA Storage,Dominica,20.0,8.0,True,True,74493.0,0,-0.0
MTQ Storage,Martinique,250.0,8.0,True,True,74493.0,0,199.62766124289357
LCA Storage,SaintLucia,75.0,8.0,True,True,74493.0,0,32.24413913010339
BRB Storage,Barbados,200.0,8.0,True,True,74493.0,0,188.6154967669729
SVG Storage,SaintVincentGrenadines,30.0,8.0,True,True,74493.0,0,9.29212110006484
GRD Storage,Grenada,45.0,8.0,True,True,74493.0,0,20.504691572937435
