name,bus,p_nom,p_nom_extendable,p_nom_min,p_nom_max,marginal_cost,build_year,capital_cost,min_up_time,min_down_time,up_time_before,down_time_before,p_nom_opt
SKN diesel,SaintKittsNevis,0.0,False,0.0,inf,200.0,0,199000.0,0,0,1,0,0.0
SKN solar pv,SaintKittsNevis,1.5,True,1.5,350.0,0.0,0,77000.0,0,0,1,0,46.84276724007798
SKN wind,SaintKittsNevis,2.2,True,2.2,100.0,0.0,0,86000.0,0,0,1,0,9.917846768823038
SKN geothermal,SaintKittsNevis,0.0,True,10.0,30.0,20.0,0,739500.0,0,0,1,0,26.330707141649025
ATG diesel,Antigua,0.0,False,0.0,inf,200.0,0,199000.0,0,0,1,0,0.0
ATG wind,Antigua,0.0,True,0.0,100.0,0.0,0,86000.0,0,0,1,0,100.0
ATG solar pv,Antigua,6.0,True,9.6,370.0,0.0,0,77000.0,0,0,1,0,167.15486879451322
MSR diesel,Montserrat,0.0,False,0.0,inf,200.0,0,199000.0,0,0,1,0,0.0
MSR geothermal,Montserrat,0.0,True,1.5,5.0,20.0,0,739500.0,0,0,1,0,1.655337013957545
MSR solar pv,Montserrat,1.0,True,1.0,133.0,0.0,0,77000.0,0,0,1,0,2.3804408132059596
MSR wind,Montserrat,0.0,True,0.0,30.0,0.0,0,86000.0,0,0,1,0,0.6905152373552381
GLP diesel,Guadeloupe,0.0,False,0.0,inf,200.0,0,199000.0,0,0,1,0,0.0
GLP coal,Guadeloupe,0.0,True,0.0,0.0,100.0,0,95768.0,0,0,1,0,-0.0
GLP hydro,Guadeloupe,10.5,True,10.5,15.0,10.0,0,156000.0,0,0,1,0,15.0
GLP geothermal,Guadeloupe,14.7,True,14.7,50.0,20.0,0,739500.0,0,0,1,0,50.0
GLP wind,Guadeloupe,22.1,True,22.1,600.0,0.0,0,86000.0,0,0,1,0,290.3900108649955
GLP solar pv,Guadeloupe,70.0,True,70.0,2200.0,0.0,0,77000.0,0,0,1,0,501.5687337719237
GLP biomass,Guadeloupe,3.7,True,3.7,10.0,140.0,0,350000.0,0,0,1,0,10.0
DMA diesel,Dominica,0.0,False,0.0,inf,200.0,0,199000.0,0,0,1,0,0.0
DMA hydro,Dominica,6.6,True,6.6,8.0,10.0,0,156000.0,0,0,1,0,6.6
DMA wind,Dominica,0.0,True,0.0,300.0,0.0,0,86000.0,0,0,1,0,-0.0
DMA solar pv,Dominica,0.0,True,0.0,1000.0,0.0,0,77000.0,0,0,1,0,-0.0
DMA geothermal,Dominica,0.0,True,15.0,15.0,20.0,0,739500.0,0,0,1,0,15.0
MTQ diesel,Martinique,0.0,False,0.0,inf,200.0,0,199000.0,0,0,1,0,0.0
MTQ wind,Martinique,13.0,True,13.0,400.0,0.0,0,86000.0,0,0,1,0,304.73913111780803
MTQ solar pv,Martinique,76.7,True,76.7,1500.0,0.0,0,77000.0,0,0,1,0,437.1766676919122
MTQ biomass,Martinique,41.4,True,41.4,41.4,140.0,0,350000.0,0,0,1,0,41.4
MTQ geothermal,Martinique,0.0,True,0.0,50.0,20.0,0,739500.0,0,0,1,0,14.1597774205745
LCA diesel,SaintLucia,0.0,False,0.0,inf,200.0,0,199000.0,0,0,1,0,0.0
LCA wind,SaintLucia,0.0,True,0.0,200.0,0.0,0,86000.0,0,0,1,0,85.30447658441717
LCA solar pv,SaintLucia,8.0,True,8.0,800.0,0.0,0,77000.0,0,0,1,0,147.7191458088259
LCA geothermal,SaintLucia,0.0,True,0.0,30.0,20.0,0,739500.0,0,0,1,0,4.251891206479359
BRB diesel,Barbados,0.0,False,0.0,inf,200.0,0,199000.0,0,0,1,0,0.0
BRB solar pv,Barbados,108.0,True,67.0,570.0,0.0,0,77000.0,0,0,1,0,545.1108957293491
BRB wind,Barbados,0.0,True,0.0,150.0,0.0,0,86000.0,0,0,1,0,150.0
BRB biomass,Barbados,0.0,True,0.0,10.0,140.0,0,350000.0,0,0,1,0,10.0
SVG diesel,SaintVincentGrenadines,0.0,False,0.0,inf,200.0,0,199000.0,0,0,1,0,0.0
SVG solar pv,SaintVincentGrenadines,1.8,True,1.8,460.0,0.0,0,77000.0,0,0,1,0,29.97934044749376
SVG wind,SaintVincentGrenadines,0.0,True,0.0,120.0,0.0,0,86000.0,0,0,1,0,30.341353010851684
SVG geothermal,SaintVincentGrenadines,0.0,True,0.0,30.0,20.0,0,739500.0,0,0,1,0,-0.0
SVG hydro,SaintVincentGrenadines,5.6,True,5.6,8.0,10.0,0,156000.0,0,0,1,0,8.0
GRD diesel,Grenada,0.0,False,0.0,inf,200.0,0,199000.0,0,0,1,0,0.0
GRD solar pv,Grenada,4.0,True,4.0,470.0,0.0,0,77000.0,0,0,1,0,39.136703906854606
GRD wind,Grenada,0.0,True,0.0,120.0,0.0,0,86000.0,0,0,1,0,38.58427055323106
GRD geothermal,Grenada,0.0,True,0.0,20.0,20.0,0,739500.0,0,0,1,0,14.575636525813298
GRD hydro,Grenada,0.0,True,0.0,0.0,10.0,0,160468.0,0,0,1,0,-0.0
