name,bus,carrier,e_nom_extendable,e_nom_max,e_cyclic,capital_cost,build_year,e_nom_opt
ATG H2 Tank,Antigua Hydrogen,AC,True,6622.0,True,1800.0,0,6622.0
BRB H2 Tank,Barbados Hydrogen,AC,True,17986.5,True,1800.0,0,8706.514212014667
DMA H2 Tank,Dominica Hydrogen,AC,True,7017.5,True,1800.0,0,-0.0
GLP H2 Tank,Guadeloupe Hydrogen,AC,True,38591.0,True,1800.0,0,19603.876672616923
GRD H2 Tank,Grenada Hydrogen,AC,True,4907.0,True,1800.0,0,1189.7286330719055
LCA H2 Tank,SaintLucia Hydrogen,AC,True,13279.0,True,1800.0,0,5122.423370530354
MSR H2 Tank,Montserrat Hydrogen,AC,True,63.0,True,1800.0,0,36.95340679325893
MTQ H2 Tank,Martinique Hydrogen,AC,True,30198.0,True,1800.0,0,16817.71938277856
SKN H2 Tank,SaintKittsNevis Hydrogen,AC,True,5106.5,True,1800.0,0,729.0391064481464
SVG H2 Tank,SaintVincentGrenadines Hydrogen,AC,True,6636.0,True,1800.0,0,915.7236568904402
