,SaintKittsNevis,Antigua,Guadeloupe,Montserrat,Martinique,SaintLucia,Barbados,SaintVincentGrenadines,Grenada,Antigua Hydrogen,Barbados Hydrogen,Guadeloupe Hydrogen,Martinique Hydrogen,SaintLucia Hydrogen,SaintVincentGrenadines Hydrogen,Grenada Hydrogen,SaintKittsNevis Hydrogen,Montserrat Hydrogen
0,-1.021405182655144e-14,3.552713678800501e-15,-1.4210854715202004e-14,0.0,1.4210854715202004e-14,-3.552713678800501e-15,0.0,0.0,-2.6645352591003757e-15,0.0,0.0,0.0,0.0,0.0,-4.440892098500626e-16,0.0,0.0,0.0
1,0.0,3.552713678800501e-15,1.4210854715202004e-14,0.0,1.4210854715202004e-14,-3.552713678800501e-15,0.0,0.0,2.6645352591003757e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,-3.552713678800501e-15,7.105427357601002e-15,5.551115123125783e-17,1.4210854715202004e-14,3.552713678800501e-15,0.0,0.0,2.6645352591003757e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,-8.881784197001252e-16,-3.552713678800501e-15,7.105427357601002e-15,5.551115123125783e-17,0.0,0.0,0.0,0.0,-8.881784197001252e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,-2.6645352591003757e-15,-3.552713678800501e-15,7.105427357601002e-15,5.551115123125783e-17,4.440892098500626e-16,3.552713678800501e-15,0.0,0.0,-8.881784197001252e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,-1.7763568394002505e-15,3.552713678800501e-15,0.0,0.0,0.0,0.0,0.0,0.0,2.6645352591003757e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,8.881784197001252e-16,3.552713678800501e-15,7.105427357601002e-15,0.0,8.881784197001252e-16,-3.552713678800501e-15,0.0,3.68594044175552e-14,-8.881784197001252e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,8.881784197001252e-16,1.7763568394002505e-14,1.4210854715202004e-14,1.1102230246251565e-16,-1.4210854715202004e-14,-1.0658141036401503e-14,0.0,-3.108624468950438e-14,6.217248937900877e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,-1.7763568394002505e-15,3.552713678800501e-15,-1.4210854715202004e-14,0.0,0.0,-3.552713678800501e-15,0.0,-4.263256414560601e-14,4.440892098500626e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,9.126033262418787e-14,-3.552713678800501e-15,1.4210854715202004e-14,5.551115123125783e-17,0.0,0.0,0.0,0.0,-8.881784197001252e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,-8.881784197001252e-16,3.552713678800501e-15,0.0,4.440892098500626e-16,1.4210854715202004e-14,-3.552713678800501e-15,-1.4210854715202004e-14,0.0,-8.881784197001252e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,-5.329070518200751e-15,1.0658141036401503e-14,-2.842170943040401e-14,5.551115123125783e-17,2.842170943040401e-14,3.552713678800501e-15,1.4210854715202004e-14,0.0,2.6645352591003757e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.440892098500626e-16,0.0
12,2.6645352591003757e-15,-3.552713678800501e-15,2.842170943040401e-14,-1.6653345369377348e-16,5.684341886080802e-14,-1.0658141036401503e-14,1.4210854715202004e-14,1.7763568394002505e-15,2.6645352591003757e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,8.526512829121202e-14,-1.0658141036401503e-14,-2.842170943040401e-14,5.551115123125783e-17,-2.842170943040401e-14,-3.552713678800501e-15,-1.4210854715202004e-14,-1.7763568394002505e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,-2.6645352591003757e-15,-3.552713678800501e-15,-2.842170943040401e-14,2.220446049250313e-16,0.0,3.552713678800501e-15,0.0,0.0,4.440892098500626e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,-8.881784197001252e-16,3.552713678800501e-15,2.1316282072803006e-14,1.6653345369377348e-16,2.842170943040401e-14,3.552713678800501e-15,0.0,-9.769962616701378e-15,-6.217248937900877e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,-5.045963646921336e-13,3.552713678800501e-15,0.0,-1.1102230246251565e-16,0.0,-3.552713678800501e-15,0.0,-2.531308496145357e-14,-2.6645352591003757e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,8.881784197001252e-16,3.552713678800501e-15,0.0,5.551115123125783e-17,0.0,0.0,0.0,0.0,4.440892098500626e-15,0.0,0.0,0.0,-3.552713678800501e-15,0.0,0.0,0.0,0.0,0.0
18,8.881784197001252e-16,-3.552713678800501e-15,0.0,5.551115123125783e-17,0.0,0.0,0.0,0.0,-8.881784197001252e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,8.881784197001252e-16,3.552713678800501e-15,0.0,5.551115123125783e-17,0.0,0.0,0.0,0.0,2.6645352591003757e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.0,0.0,1.4210854715202004e-14,5.551115123125783e-17,0.0,-3.552713678800501e-15,0.0,0.0,4.440892098500626e-15,0.0,0.0,0.0,-1.7763568394002505e-15,0.0,0.0,0.0,0.0,0.0
21,8.881784197001252e-16,-3.552713678800501e-15,1.4210854715202004e-14,5.551115123125783e-17,0.0,-3.552713678800501e-15,0.0,0.0,6.217248937900877e-15,0.0,0.0,0.0,0.0,0.0,-2.220446049250313e-16,0.0,0.0,0.0
22,8.881784197001252e-16,0.0,-1.4210854715202004e-14,5.551115123125783e-17,0.0,-3.552713678800501e-15,0.0,-2.220446049250313e-16,-4.440892098500626e-15,-1.7763568394002505e-15,0.0,0.0,-7.105427357601002e-15,0.0,0.0,0.0,0.0,0.0
23,-2.6645352591003757e-15,0.0,0.0,0.0,0.0,3.552713678800501e-15,0.0,-4.440892098500626e-16,2.6645352591003757e-15,1.7763568394002505e-15,0.0,0.0,7.105427357601002e-15,0.0,2.220446049250313e-16,0.0,0.0,0.0
24,8.881784197001252e-16,0.0,7.105427357601002e-15,5.551115123125783e-17,0.0,0.0,1.4210854715202004e-14,-4.440892098500626e-16,2.6645352591003757e-15,-2.6645352591003757e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,8.881784197001252e-16,0.0,-1.4210854715202004e-14,5.551115123125783e-17,0.0,0.0,0.0,-1.9984014443252818e-14,6.217248937900877e-15,1.7763568394002505e-15,0.0,0.0,-7.105427357601002e-15,0.0,0.0,0.0,0.0,0.0
