,SaintKittsNevis,Antigua,Guadeloupe,Montserrat,Martinique,SaintLucia,Barbados,SaintVincentGrenadines,Grenada,Antigua Hydrogen,Barbados Hydrogen,Guadeloupe Hydrogen,Martinique Hydrogen,SaintLucia Hydrogen,SaintVincentGrenadines Hydrogen,Grenada Hydrogen,Montserrat Hydrogen
0,-8.881784197001252e-16,0.0,0.0,0.0,0.0,4.440892098500626e-15,0.0,1.3322676295501878e-15,1.7763568394002505e-15,0.0,3.552713678800501e-15,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7763568394002505e-15,0.0,0.0,7.105427357601002e-15,0.0,0.0,0.0,0.0,0.0,0.0
2,8.881784197001252e-16,0.0,0.0,0.0,0.0,0.0,0.0,-4.440892098500626e-16,0.0,0.0,7.105427357601002e-15,0.0,-4.440892098500626e-16,0.0,0.0,0.0,0.0
3,1.7763568394002505e-15,0.0,0.0,0.0,0.0,0.0,0.0,1.3322676295501878e-15,0.0,0.0,3.552713678800501e-15,0.0,0.0,0.0,0.0,0.0,0.0
4,-8.881784197001252e-16,0.0,0.0,0.0,0.0,3.552713678800501e-15,7.105427357601002e-15,1.7763568394002505e-15,-1.887379141862766e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,3.552713678800501e-15,-7.105427357601002e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,-8.881784197001252e-16,0.0,0.0,0.0,0.0,0.0,7.105427357601002e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,1.887379141862766e-15,0.0,1.4210854715202004e-14,9.71445146547012e-17,0.0,-7.105427357601002e-15,7.105427357601002e-15,1.7763568394002505e-15,-2.042810365310288e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,1.1102230246251565e-16,-7.105427357601002e-15,2.842170943040401e-14,9.71445146547012e-17,2.8421709430404007e-13,-7.105427357601002e-15,7.105427357601002e-15,-8.881784197001252e-16,-8.881784197001252e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,1.1102230246251565e-16,7.105427357601002e-15,1.4210854715202004e-14,9.71445146547012e-17,0.0,0.0,7.105427357601002e-15,1.3322676295501878e-15,-8.881784197001252e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,-1.6653345369377348e-15,0.0,2.842170943040401e-14,9.71445146547012e-17,0.0,3.552713678800501e-15,2.1316282072803006e-14,1.3322676295501878e-15,-1.7763568394002505e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,-1.6653345369377348e-15,0.0,0.0,9.71445146547012e-17,0.0,7.105427357601002e-15,7.105427357601002e-15,1.3322676295501878e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,1.887379141862766e-15,0.0,-2.842170943040401e-14,9.71445146547012e-17,0.0,-3.552713678800501e-15,7.105427357601002e-15,3.1086244689504383e-15,-1.7763568394002505e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,-1.6653345369377348e-15,7.105427357601002e-15,0.0,9.71445146547012e-17,0.0,0.0,-7.105427357601002e-15,1.7763568394002505e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,1.1102230246251565e-16,7.105427357601002e-15,-2.2382096176443156e-13,9.71445146547012e-17,-1.4210854715202004e-14,3.552713678800501e-15,-2.1316282072803006e-14,1.3322676295501878e-15,1.7763568394002505e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,-1.6653345369377348e-15,0.0,0.0,2.0816681711721685e-16,-1.4210854715202004e-14,-2.3803181647963356e-13,7.105427357601002e-15,1.3322676295501878e-15,8.881784197001252e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,8.881784197001252e-16,-7.105427357601002e-15,9.094947017729282e-13,0.0,5.471179065352771e-13,8.881784197001252e-16,7.105427357601002e-15,4.440892098500626e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,-1.3322676295501878e-15,0.0,-4.263256414560601e-14,0.0,0.0,5.773159728050814e-15,-7.105427357601002e-15,-8.881784197001252e-16,-1.7763568394002505e-15,0.0,1.7763568394002505e-15,0.0,0.0,0.0,0.0,0.0,0.0
18,8.881784197001252e-16,0.0,0.0,0.0,0.0,-3.552713678800501e-15,-7.105427357601002e-15,0.0,1.3322676295501878e-15,1.7763568394002505e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,2.220446049250313e-15,0.0,0.0,0.0,1.4210854715202004e-14,0.0,7.105427357601002e-15,0.0,-1.3322676295501878e-15,-1.7763568394002505e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.0,0.0,-1.4210854715202004e-14,0.0,-2.842170943040401e-14,-3.552713678800501e-15,2.1316282072803006e-14,-1.7763568394002505e-15,8.881784197001252e-16,-1.7763568394002505e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,4.440892098500626e-16,0.0,0.0,0.0,0.0,-1.1102230246251565e-15,0.0,1.7763568394002505e-15,2.6645352591003757e-15,0.0,6.661338147750939e-16,0.0,0.0,0.0,0.0,0.0,0.0
22,-1.3322676295501878e-15,0.0,-1.4210854715202004e-14,0.0,0.0,0.0,0.0,0.0,2.6645352591003757e-15,-1.7763568394002505e-15,6.217248937900877e-15,0.0,0.0,0.0,0.0,0.0,0.0
23,8.881784197001252e-16,0.0,0.0,2.220446049250313e-16,0.0,0.0,0.0,0.0,-2.6645352591003757e-15,0.0,-2.6645352591003757e-15,0.0,0.0,0.0,0.0,0.0,0.0
24,1.7763568394002505e-15,-1.7763568394002505e-15,0.0,0.0,0.0,0.0,0.0,0.0,-1.7763568394002505e-15,0.0,-1.7763568394002505e-15,0.0,0.0,0.0,0.0,0.0,0.0
25,-1.7763568394002505e-15,0.0,0.0,2.220446049250313e-16,0.0,-3.552713678800501e-15,-3.552713678800501e-15,0.0,-1.7763568394002505e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,-1.7763568394002505e-15,0.0,-1.4210854715202004e-14,0.0,1.4210854715202004e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,-1.7763568394002505e-15,0.0,0.0,0.0,0.0,3.552713678800501e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
