name,bus,carrier,e_nom_extendable,e_nom_max,e_cyclic,capital_cost,build_year,e_nom_opt
ATG H2 Tank,Antigua Hydrogen,AC,True,6622.0,True,1800.0,0,6622.0
BRB H2 Tank,Barbados Hydrogen,AC,True,17986.5,True,1800.0,0,8886.821823045771
DMA H2 Tank,Dominica Hydrogen,AC,True,7017.5,True,1800.0,0,-0.0
GLP H2 Tank,Guadeloupe Hydrogen,AC,True,38591.0,True,1800.0,0,26437.255775078254
GRD H2 Tank,Grenada Hydrogen,AC,True,4907.0,True,1800.0,0,870.9159910307759
LCA H2 Tank,SaintLucia Hydrogen,AC,True,13279.0,True,1800.0,0,2723.4484251619388
MSR H2 Tank,Montserrat Hydrogen,AC,True,63.0,True,1800.0,0,17.199382317221115
MTQ H2 Tank,Martinique Hydrogen,AC,True,30198.0,True,1800.0,0,12570.654227716093
SKN H2 Tank,SaintKittsNevis Hydrogen,AC,True,5106.5,True,1800.0,0,281.43282409572123
SVG H2 Tank,SaintVincentGrenadines Hydrogen,AC,True,6636.0,True,1800.0,0,309.4333115255316
