name,bus,p_nom,p_nom_extendable,marginal_cost,capital_cost,p_nom_max,p_nom_min,build_year,min_up_time,min_down_time,up_time_before,down_time_before,p_nom_opt
SKN diesel,SaintKittsNevis,0.0,False,170.0,190000.0,inf,0.0,0,0,0,1,0,0.0
SKN solar pv,SaintKittsNevis,1.5,True,0.0,75772.0,350.0,1.5,0,0,0,1,0,68.28918454387589
SKN wind,SaintKittsNevis,2.2,True,0.0,116276.0,50.0,2.2,0,0,0,1,0,21.395735915383845
SKN geothermal,SaintKittsNevis,0.0,True,20.0,493350.0,30.0,10.0,0,0,0,1,0,20.16321244352394
ATG diesel,Antigua,0.0,False,170.0,190000.0,inf,0.0,0,0,0,1,0,0.0
ATG wind,Antigua,0.0,True,0.0,116276.0,50.0,0.0,0,0,0,1,0,50.0
ATG solar pv,Antigua,6.0,True,0.0,75772.0,370.0,9.6,0,0,0,1,0,282.43399748306047
MSR diesel,Montserrat,0.0,False,170.0,190000.0,inf,0.0,0,0,0,1,0,0.0
MSR geothermal,Montserrat,0.0,True,20.0,493350.0,5.0,1.5,0,0,0,1,0,1.5824764349128162
MSR solar pv,Montserrat,0.0,True,0.0,75772.0,133.0,0.25,0,0,0,1,0,3.3647534495785383
GLP diesel,Guadeloupe,0.0,False,170.0,190000.0,inf,0.0,0,0,0,1,0,0.0
GLP coal,Guadeloupe,0.0,True,100.0,95768.0,0.0,0.0,0,0,0,1,0,-0.0
GLP hydro,Guadeloupe,10.5,True,10.0,160468.0,15.0,10.5,0,0,0,1,0,15.0
GLP geothermal,Guadeloupe,14.7,True,20.0,493350.0,50.0,14.7,0,0,0,1,0,50.0
GLP wind,Guadeloupe,22.1,True,0.0,116276.0,300.0,22.1,0,0,0,1,0,229.54247656724266
GLP solar pv,Guadeloupe,70.0,True,0.0,75772.0,2200.0,70.0,0,0,0,1,0,796.740857563808
GLP biomass,Guadeloupe,3.7,True,140.0,476000.0,10.0,3.7,0,0,0,1,0,10.0
DMA diesel,Dominica,0.0,False,170.0,190000.0,inf,0.0,0,0,0,1,0,0.0
DMA hydro,Dominica,6.6,True,10.0,160468.0,8.0,6.6,0,0,0,1,0,6.6
DMA wind,Dominica,0.0,True,0.0,116276.0,150.0,0.0,0,0,0,1,0,-0.0
DMA solar pv,Dominica,0.0,True,0.0,75772.0,1000.0,0.0,0,0,0,1,0,-0.0
DMA geothermal,Dominica,0.0,True,20.0,493350.0,15.0,15.0,0,0,0,1,0,15.0
MTQ diesel,Martinique,0.0,False,170.0,190000.0,inf,0.0,0,0,0,1,0,0.0
MTQ wind,Martinique,13.0,True,0.0,116276.0,200.0,13.0,0,0,0,1,0,200.0
MTQ solar pv,Martinique,76.7,True,0.0,75772.0,1500.0,76.7,0,0,0,1,0,516.1593528271019
MTQ biomass,Martinique,41.4,True,140.0,476000.0,41.4,41.4,0,0,0,1,0,41.4
MTQ geothermal,Martinique,0.0,True,20.0,493350.0,50.0,0.0,0,0,0,1,0,50.0
LCA diesel,SaintLucia,0.0,False,170.0,190000.0,inf,0.0,0,0,0,1,0,0.0
LCA wind,SaintLucia,0.0,True,0.0,116276.0,100.0,0.0,0,0,0,1,0,72.38200013265244
LCA solar pv,SaintLucia,6.0,True,0.0,75772.0,800.0,6.0,0,0,0,1,0,61.89728866715355
LCA geothermal,SaintLucia,0.0,True,20.0,493350.0,30.0,0.0,0,0,0,1,0,27.600961241379302
BRB diesel,Barbados,0.0,False,170.0,190000.0,inf,0.0,0,0,0,1,0,0.0
BRB solar pv,Barbados,67.0,True,0.0,75772.0,570.0,67.0,0,0,0,1,0,570.0
BRB wind,Barbados,0.0,True,0.0,116276.0,75.0,0.0,0,0,0,1,0,75.0
BRB biomass,Barbados,0.0,True,140.0,476000.0,10.0,0.0,0,0,0,1,0,10.0
SVG diesel,SaintVincentGrenadines,0.0,False,170.0,190000.0,inf,0.0,0,0,0,1,0,0.0
SVG solar pv,SaintVincentGrenadines,1.8,True,0.0,75772.0,460.0,1.8,0,0,0,1,0,22.472682121006553
SVG wind,SaintVincentGrenadines,0.0,True,0.0,116276.0,60.0,0.0,0,0,0,1,0,25.31509815031209
SVG geothermal,SaintVincentGrenadines,0.0,True,20.0,493350.0,15.0,0.0,0,0,0,1,0,3.906883117810542
SVG hydro,SaintVincentGrenadines,5.6,True,10.0,160468.0,8.0,5.6,0,0,0,1,0,8.0
GRD diesel,Grenada,0.0,False,170.0,190000.0,inf,0.0,0,0,0,1,0,0.0
GRD solar pv,Grenada,2.0,True,0.0,75772.0,470.0,2.0,0,0,0,1,0,38.44729672456217
GRD wind,Grenada,0.0,True,0.0,116276.0,60.0,0.0,0,0,0,1,0,39.703271320147806
GRD geothermal,Grenada,0.0,True,20.0,493350.0,20.0,0.0,0,0,0,1,0,15.172701291854018
GRD hydro,Grenada,0.0,True,10.0,160468.0,0.0,0.0,0,0,0,1,0,-0.0
