name,bus0,bus1,efficiency,p_nom_extendable,capital_cost,carrier,build_year,p_nom_opt
ATG Electrolyzer,Antigua,Antigua Hydrogen,0.7,True,85000.0,AC,0,13.056734731462479
ATG Fuel Cell,Antigua Hydrogen,Antigua,0.6,True,42500.0,AC,0,30.262111588552624
BRB Electrolyzer,Barbados,Barbados Hydrogen,0.7,True,85000.0,AC,0,63.65851190476165
BRB Fuel Cell,Barbados Hydrogen,Barbados,0.6,True,42500.0,AC,0,72.9405405405404
GLP Electrolyzer,Guadeloupe,Guadeloupe Hydrogen,0.7,True,85000.0,AC,0,20.79208656495621
GLP Fuel Cell,Guadeloupe Hydrogen,Guadeloupe,0.6,True,42500.0,AC,0,113.20141640848449
MTQ Electrolyzer,Martinique,Martinique Hydrogen,0.7,True,85000.0,AC,0,29.746391917535238
MTQ Fuel Cell,Martinique Hydrogen,Martinique,0.6,True,42500.0,AC,0,67.58543304478587
LCA Electrolyzer,SaintLucia,SaintLucia Hydrogen,0.7,True,85000.0,AC,0,11.734231080921946
LCA Fuel Cell,SaintLucia Hydrogen,SaintLucia,0.6,True,42500.0,AC,0,18.336032420495894
SVG Electrolyzer,SaintVincentGrenadines,SaintVincentGrenadines Hydrogen,0.7,True,85000.0,AC,0,4.195423834895988
SVG Fuel Cell,SaintVincentGrenadines Hydrogen,SaintVincentGrenadines,0.6,True,42500.0,AC,0,5.152791151625138
GRD Electrolyzer,Grenada,Grenada Hydrogen,0.7,True,85000.0,AC,0,2.3500788687641054
GRD Fuel Cell,Grenada Hydrogen,Grenada,0.6,True,42500.0,AC,0,6.956602466960724
SKN Electrolyzer,SaintKittsNevis,SaintKittsNevis Hydrogen,0.7,True,85000.0,AC,0,2.260985618167397
SKN Fuel Cell,SaintKittsNevis Hydrogen,SaintKittsNevis,0.6,True,42500.0,AC,0,8.232265595413091
MSR Electrolyzer,Montserrat,Montserrat Hydrogen,0.7,True,85000.0,AC,0,0.10327667294062848
MSR Fuel Cell,Montserrat Hydrogen,Montserrat,0.6,True,42500.0,AC,0,0.2218142966554641
DMA Electrolyzer,Dominica,Dominica Hydrogen,0.7,True,85000.0,AC,0,-0.0
DMA Fuel Cell,Dominica Hydrogen,Dominica,0.6,True,42500.0,AC,0,-0.0
