name,bus,e_nom_extendable,capital_cost,e_cyclic,carrier,build_year,e_nom_opt
ATG H2 Tank,Antigua Hydrogen,True,1785.0,True,AC,0,5020.150641033017
BRB H2 Tank,Barbados Hydrogen,True,1785.0,True,AC,0,33856.08883333332
GLP H2 Tank,Guadeloupe Hydrogen,True,1785.0,True,AC,0,9781.983641810759
MTQ H2 Tank,Martinique Hydrogen,True,1785.0,True,AC,0,5099.997346999975
LCA H2 Tank,SaintLucia Hydrogen,True,1785.0,True,AC,0,3250.403323211117
SKN H2 Tank,SaintKittsNevis Hydrogen,True,1785.0,True,AC,0,892.4453392019275
SVG H2 Tank,SaintVincentGrenadines Hydrogen,True,1785.0,True,AC,0,394.3306262327392
MSR H2 Tank,Montserrat Hydrogen,True,1785.0,True,AC,0,24.027148581843157
GRD H2 Tank,Grenada Hydrogen,True,1785.0,True,AC,0,1030.1501626311933
DMA H2 Tank,Dominica Hydrogen,True,1785.0,True,AC,0,-0.0
