,SaintKittsNevis,Antigua,Guadeloupe,Montserrat,Dominica,Martinique,SaintLucia,Barbados,SaintVincentGrenadines,Grenada
0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
1,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
2,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
3,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
4,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
5,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
6,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
7,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
8,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
9,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
10,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
11,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
12,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
13,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
14,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
15,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
16,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
17,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0
18,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0
19,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0
20,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0
21,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0
22,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0
23,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0
24,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0
25,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0
26,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0
27,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0
28,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0
29,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0
30,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0
31,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0
32,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0
33,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0
34,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0
35,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0
36,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0
37,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0
38,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0
39,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0
40,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0
41,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0
42,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0
43,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0
44,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0
45,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0
46,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0
47,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0
48,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0
49,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0
50,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0
51,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0
52,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0
53,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0
54,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0
