,SKN load,ATG load,GLP load,MSR load,DMA load,MTQ load,LCA load,BRB load,SVG load,GRD load
0,26.95,43.24,196.5,1.62,12.6,179.9,47.4,119.5,18.0,26.3
1,25.28,40.88,183.1,1.53,11.7,168.9,43.4,110.0,17.0,24.7
2,25.01,39.86,183.3,1.5,11.6,164.9,42.3,107.6,16.6,24.1
3,24.68,38.75,181.3,1.46,11.5,162.6,42.9,108.5,16.3,23.3
4,23.73,38.97,176.3,1.46,11.4,160.5,41.5,107.1,16.1,23.4
5,24.15,38.48,175.1,1.42,11.1,160.5,42.1,106.5,16.3,23.5
6,23.34,37.29,172.1,1.41,10.8,155.5,40.9,104.1,15.5,22.6
7,23.83,37.86,176.3,1.41,11.0,158.5,41.6,103.1,15.7,22.8
8,25.26,40.07,184.2,1.49,11.9,168.0,44.1,109.8,16.6,24.5
9,26.58,42.41,198.0,1.61,12.6,178.3,45.9,117.2,17.8,26.0
10,28.02,44.6,205.7,1.68,13.2,187.1,48.0,124.4,18.7,27.4
11,29.16,46.38,215.4,1.73,13.8,193.8,50.0,126.0,19.6,28.0
12,29.6,46.46,217.1,1.76,13.5,195.1,50.6,129.5,19.6,28.4
13,27.89,44.89,202.4,1.66,12.9,186.2,47.9,123.3,18.4,26.6
14,26.51,41.55,191.4,1.55,12.1,175.0,45.0,115.5,17.4,25.5
15,25.41,40.35,184.5,1.5,11.6,168.4,43.5,109.9,16.8,24.8
16,24.92,40.29,185.1,1.49,11.9,167.5,43.3,111.1,16.6,24.4
17,25.48,41.9,187.6,1.54,11.9,172.4,44.6,113.6,17.1,24.6
18,29.9,47.4,219.9,1.77,14.0,198.9,51.6,132.6,20.0,29.2
19,31.19,50.0,228.4,1.83,14.5,205.6,54.0,135.6,20.6,30.2
20,30.26,49.58,224.2,1.86,14.5,204.7,53.4,134.4,20.6,29.7
21,29.78,48.2,219.8,1.81,14.0,199.9,52.4,133.4,19.7,29.2
22,29.74,47.32,215.7,1.79,13.8,196.4,50.6,127.7,19.9,28.8
23,27.8,43.98,202.6,1.68,12.9,185.2,48.0,121.7,18.5,27.1
24,25.74,40.9,187.7,1.55,12.2,172.0,44.1,112.6,17.0,24.9
25,24.22,39.48,178.6,1.48,11.5,163.7,42.3,108.3,16.4,23.7
26,23.96,38.03,173.8,1.42,11.3,159.8,41.6,106.2,15.8,22.9
27,23.88,37.86,172.5,1.44,10.9,158.3,41.4,105.5,15.9,22.8
28,24.25,37.84,174.7,1.44,11.3,159.9,41.1,107.0,15.9,23.5
29,25.21,40.56,186.8,1.53,11.7,169.3,44.1,112.5,17.1,24.4
30,26.48,42.06,195.9,1.62,12.5,177.3,46.5,116.9,17.6,25.5
31,29.45,46.35,213.0,1.75,13.7,195.5,50.8,127.6,19.6,28.3
32,32.34,51.91,241.1,1.98,15.1,218.0,56.0,142.3,21.8,31.5
33,34.92,55.54,249.0,2.04,15.8,229.4,58.9,151.1,23.1,33.4
34,34.98,55.99,258.1,2.08,16.2,232.8,61.1,154.4,23.0,34.0
35,35.71,57.64,263.2,2.11,16.7,238.4,61.1,158.5,23.6,34.4
36,35.93,58.16,269.4,2.15,17.0,241.6,62.0,159.7,23.8,35.2
37,35.79,57.63,266.2,2.12,16.9,238.7,62.4,157.9,23.9,34.9
38,35.01,56.41,259.1,2.08,16.4,234.3,60.3,152.6,23.8,33.8
39,34.66,54.94,253.5,2.1,16.4,230.4,59.9,152.8,23.3,33.8
40,33.48,53.29,239.6,1.97,15.6,220.6,57.6,146.0,22.4,32.3
41,33.17,52.64,244.0,1.98,15.5,220.0,57.4,145.4,22.0,31.5
42,36.37,57.56,266.4,2.2,16.8,243.5,63.9,159.1,24.5,35.7
43,36.39,58.38,271.3,2.22,17.0,245.7,62.9,162.8,24.8,35.9
44,34.84,56.2,254.5,2.1,16.4,234.8,61.1,155.1,23.6,33.8
45,32.62,53.24,242.0,1.96,15.2,220.1,57.3,147.4,22.3,31.7
46,31.69,51.84,236.2,1.93,14.8,213.4,56.0,142.7,21.1,31.0
47,29.68,47.28,214.9,1.77,13.8,198.2,51.2,129.6,19.7,29.0
48,27.27,44.67,202.6,1.64,12.9,183.5,47.2,122.7,18.5,26.2
49,25.76,41.59,187.9,1.55,12.2,173.3,45.4,114.9,17.2,25.0
50,25.61,40.74,183.7,1.5,11.7,168.4,44.0,112.3,16.6,24.6
51,24.95,39.69,181.3,1.52,11.8,166.7,43.8,110.8,16.8,23.9
52,25.62,40.05,185.6,1.53,11.9,168.5,43.4,110.0,17.0,24.7
53,26.64,42.91,198.0,1.61,12.5,178.6,45.9,116.4,17.6,25.7
54,27.89,44.47,207.9,1.67,13.2,187.4,48.2,122.8,18.6,26.8
55,31.12,49.73,225.7,1.82,14.3,204.8,53.9,136.0,20.3,29.9
56,33.84,53.82,246.0,2.01,15.8,224.6,57.9,146.5,22.2,32.6
57,34.32,55.85,257.1,2.08,16.1,231.2,59.2,151.4,23.0,33.1
58,35.43,57.49,261.8,2.16,16.4,236.3,62.3,156.2,23.3,34.3
59,35.94,57.96,268.3,2.17,16.8,241.4,62.2,158.8,24.1,35.0
60,36.06,58.17,265.4,2.16,17.1,243.3,63.1,160.8,24.0,35.5
61,36.07,57.53,262.5,2.13,16.6,238.5,61.7,157.0,23.7,34.8
62,34.83,55.54,254.0,2.13,16.3,234.2,61.2,152.5,23.7,33.6
63,34.85,55.82,250.8,2.08,16.3,230.1,59.8,153.4,23.2,33.6
64,32.91,53.13,248.3,1.98,15.5,222.7,57.8,147.6,22.3,32.6
65,32.9,53.11,241.2,2.01,15.4,222.5,57.1,147.4,22.5,31.9
66,36.63,59.3,272.1,2.21,17.3,247.4,64.3,164.6,24.8,36.1
67,36.93,58.9,272.3,2.22,17.3,249.0,65.3,165.2,24.7,35.8
68,35.77,57.99,258.3,2.15,16.8,238.4,61.2,157.7,24.0,34.9
69,33.31,53.04,243.8,1.98,15.7,222.1,58.4,147.5,21.9,32.5
70,31.83,51.13,233.5,1.92,14.9,211.0,55.7,140.9,21.0,30.8
71,29.12,47.01,216.0,1.74,13.6,193.7,50.8,128.7,19.2,28.3
72,26.78,43.13,196.2,1.6,12.5,179.0,46.2,119.3,18.1,25.7
73,25.17,40.62,184.5,1.53,11.9,169.6,43.9,112.1,16.8,24.4
74,24.68,39.32,182.9,1.5,11.4,164.2,42.6,107.9,16.4,24.0
75,24.68,39.6,182.4,1.46,11.6,163.4,42.3,106.7,16.3,23.7
76,24.98,40.37,184.2,1.52,11.7,166.9,43.0,109.2,16.7,23.9
77,26.99,43.88,197.4,1.63,12.7,181.9,46.9,121.6,18.4,26.1
78,29.7,48.14,219.4,1.77,13.8,198.1,52.0,130.2,19.7,29.0
79,32.27,50.99,230.8,1.89,14.7,212.8,55.5,139.1,21.3,31.0
80,34.23,54.25,248.8,2.06,16.0,227.0,59.5,148.6,22.5,32.5
81,35.93,56.77,259.7,2.1,16.5,236.4,62.0,156.0,23.4,34.1
82,36.34,56.94,261.8,2.16,16.7,240.8,62.4,157.1,23.8,35.0
83,36.87,59.5,272.1,2.21,17.3,246.3,64.5,160.8,24.8,35.2
84,37.9,59.33,277.0,2.24,17.7,249.9,64.9,164.9,25.1,36.5
85,37.36,59.13,270.2,2.21,17.2,247.2,64.1,161.5,24.9,35.4
86,36.1,59.14,269.5,2.2,17.0,243.9,63.2,162.1,24.7,34.9
87,36.15,56.56,265.5,2.17,16.4,238.2,61.6,156.3,23.6,34.7
88,34.07,55.28,254.0,2.06,15.8,228.1,58.7,152.5,22.6,33.3
89,33.77,52.98,247.2,2.02,15.7,224.0,57.4,148.4,22.6,32.9
90,37.13,59.26,276.0,2.23,17.6,248.7,65.4,163.3,24.5,36.4
91,37.32,59.4,275.5,2.27,17.5,249.0,64.6,164.6,24.9,36.1
92,35.45,55.69,258.7,2.08,16.6,235.0,60.3,155.3,23.5,34.0
93,32.82,53.26,241.8,2.0,15.4,219.4,57.3,146.2,22.3,32.0
94,31.18,50.68,229.0,1.91,14.8,209.8,53.9,136.9,20.9,30.7
95,29.22,46.79,217.3,1.73,13.4,194.7,51.0,130.4,19.7,28.0
96,27.59,43.31,197.1,1.64,12.7,181.6,47.1,118.6,18.4,26.2
97,25.75,41.82,191.1,1.55,11.9,172.4,44.4,114.2,17.2,25.3
98,25.12,40.3,184.1,1.52,11.6,167.4,44.1,109.0,16.7,24.0
99,24.61,39.69,182.6,1.5,11.7,165.8,43.2,108.1,16.7,23.9
100,25.76,41.27,187.1,1.53,11.8,169.7,43.6,112.9,17.2,24.9
101,27.79,44.92,207.9,1.68,13.0,186.4,48.7,122.4,18.8,26.9
102,30.53,48.2,219.5,1.84,14.3,201.7,52.6,132.8,19.9,29.4
103,32.18,51.61,235.8,1.96,15.3,215.6,56.9,141.5,21.3,31.2
104,34.63,55.54,251.7,2.08,16.0,228.3,59.6,150.2,22.9,32.8
105,35.96,57.66,259.8,2.12,16.4,237.0,61.1,157.3,24.0,34.8
106,35.56,57.99,263.0,2.16,16.7,239.9,62.7,159.0,23.8,34.7
107,35.53,57.09,262.1,2.14,16.8,236.7,61.0,154.6,23.9,34.6
108,35.8,57.33,267.7,2.17,16.8,241.6,62.1,160.0,24.3,35.4
109,35.96,56.58,259.0,2.14,16.7,238.4,62.0,156.5,24.0,34.4
110,35.37,55.46,253.2,2.11,16.1,232.5,59.6,155.1,23.5,33.3
111,34.24,53.81,246.8,2.02,15.7,227.3,59.3,148.0,23.0,33.1
112,32.95,53.56,240.1,1.97,15.2,220.2,57.6,146.5,22.0,32.4
113,33.45,53.47,243.0,1.96,15.4,220.3,57.8,145.3,21.9,31.5
114,35.95,58.97,263.6,2.22,17.3,242.9,62.3,158.2,24.4,35.7
115,36.92,58.45,270.9,2.18,17.3,244.1,63.8,163.4,24.1,35.7
116,35.06,55.05,251.1,2.06,16.2,231.5,59.9,150.9,23.3,33.7
