,MSR geothermal,GLP geothermal,DMA geothermal,MTQ geothermal,LCA geothermal,SKN geothermal,SVG geothermal,GRD geothermal,ATG wind,ATG solar pv,MSR wind,MSR solar pv,GLP wind,GLP solar pv,DMA wind,DMA solar pv,MTQ wind,MTQ solar pv,LCA wind,LCA solar pv,SKN wind,SKN solar pv,SVG wind,SVG solar pv,GRD wind,GRD solar pv,BRB wind,BRB solar pv
0,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.4264,0.0,0.444,0.0,0.452,0.0,0.5296,0.0,0.5672,0.0,0.6056,0.0,0.4536,0.0,0.6272,0.0,0.5384,0.0,0.6432,0.0
1,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.4352,0.0,0.4488,0.0,0.4544,0.0,0.5232,0.0,0.5584,0.0,0.5984,0.0,0.4568,0.0,0.6224,0.0,0.5688,0.0,0.6392,0.0
2,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.432,0.0,0.444,0.0,0.4528,0.0,0.5248,0.0,0.5528,0.0,0.5872,0.0,0.4472,0.0,0.608,0.0,0.5816,0.0,0.6328,0.0
3,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.4224,0.0,0.438933334,0.0,0.4512,0.0,0.5296,0.0,0.5544,0.0,0.5832,0.0,0.4432,0.0,0.5952,0.0,0.5968,0.0,0.628,0.0
4,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.416,0.0,0.440266666,0.0,0.4496,0.0,0.5352,0.0,0.5592,0.0,0.5856,0.0,0.4552,0.0,0.5944,0.0,0.5384,0.0,0.6232,0.0
5,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.4152,0.0,0.4384,0.0,0.436,0.0,0.5216,0.0,0.548,0.0,0.5792,0.0,0.464,0.0,0.5896,0.0,0.5688,0.0,0.6176,0.0
6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.4144,0.0008,0.431466666,0.0008,0.4192,0.0024,0.4976,0.0032,0.5264,0.0032,0.5688,0.0024,0.4608,0.0,0.5864,0.0016,0.5816,0.0008,0.6184,0.008
7,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.4056,0.1216,0.422133334,0.1136,0.4072,0.12,0.48,0.1312,0.5096,0.1104,0.5632,0.0792,0.4536,0.1352,0.5928,0.0728,0.5968,0.0504,0.6232,0.1208
8,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.3936,0.2832,0.412266666,0.28,0.3992,0.268,0.4784,0.2912,0.5072,0.26,0.5648,0.2048,0.444,0.3064,0.608,0.1856,0.6096,0.136,0.6296,0.2664
9,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.3768,0.4208,0.3952,0.4152,0.3864,0.3712,0.4728,0.4056,0.508,0.3904,0.5648,0.3296,0.4224,0.4344,0.6184,0.308,0.6128,0.2192,0.6304,0.3936
10,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.3392,0.532,0.361066666,0.5144,0.3536,0.4504,0.4456,0.4744,0.4944,0.4848,0.56,0.4176,0.3904,0.5184,0.6208,0.404,0.6072,0.2784,0.6224,0.4752
11,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.3,0.5728,0.3272,0.56,0.3152,0.4984,0.4088,0.508,0.4736,0.5368,0.5528,0.4528,0.3664,0.5624,0.6152,0.412,0.596,0.3112,0.6056,0.5184
12,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.2768,0.576,0.301066666,0.568,0.2848,0.5184,0.3784,0.4952,0.4536,0.5448,0.54,0.46,0.3416,0.5728,0.604,0.4,0.5872,0.3128,0.5816,0.5112
13,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.26,0.5392,0.277333334,0.536,0.2664,0.5048,0.3544,0.4288,0.4368,0.5072,0.5248,0.44,0.3056,0.5416,0.5856,0.3816,0.5784,0.2904,0.5552,0.4568
14,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.2392,0.4616,0.2568,0.4552,0.264,0.4272,0.348,0.3392,0.4288,0.4272,0.512,0.3968,0.2672,0.452,0.5664,0.3544,0.5736,0.2344,0.528,0.3736
15,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.2208,0.3336,0.243733334,0.304,0.2696,0.3192,0.3608,0.2496,0.4328,0.2992,0.504,0.3024,0.2408,0.288,0.5512,0.2688,0.5832,0.1656,0.5032,0.2552
16,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.2104,0.128,0.237333334,0.1168,0.276,0.1552,0.3824,0.1224,0.4472,0.14,0.504,0.1552,0.2256,0.1256,0.5448,0.132,0.6048,0.0848,0.4848,0.1096
17,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.212,0.008,0.241866666,0.0088,0.2832,0.0096,0.4016,0.0112,0.4632,0.0104,0.5136,0.0144,0.2304,0.0128,0.5488,0.0136,0.6312,0.0112,0.4792,0.0064
18,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.2216,0.0,0.254666666,0.0,0.292,0.0,0.4232,0.0,0.4784,0.0,0.5264,0.0,0.2504,0.0,0.5592,0.0,0.6528,0.0,0.492,0.0
19,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.2376,0.0,0.271733334,0.0,0.304,0.0,0.4424,0.0,0.4952,0.0,0.5408,0.0,0.2736,0.0,0.5736,0.0,0.6576,0.0,0.5112,0.0
20,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.256,0.0,0.291733334,0.0,0.3232,0.0,0.4632,0.0,0.512,0.0,0.5504,0.0,0.296,0.0,0.5832,0.0,0.6472,0.0,0.5272,0.0
21,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.2736,0.0,0.311466666,0.0,0.3416,0.0,0.4832,0.0,0.5232,0.0,0.5552,0.0,0.3192,0.0,0.584,0.0,0.6272,0.0,0.524,0.0
22,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.292,0.0,0.3288,0.0,0.3544,0.0,0.4952,0.0,0.5264,0.0,0.5504,0.0,0.34,0.0,0.5744,0.0,0.6016,0.0,0.5056,0.0
23,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.3032,0.0,0.340266666,0.0,0.368,0.0,0.4984,0.0,0.5256,0.0,0.5464,0.0,0.3496,0.0,0.5648,0.0,0.5784,0.0,0.4848,0.0
24,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.3072,0.0,0.3424,0.0,0.376,0.0,0.4976,0.0,0.5152,0.0,0.5328,0.0,0.344,0.0,0.548,0.0,0.5632,0.0,0.4608,0.0
25,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.3024,0.0,0.334933334,0.0,0.3768,0.0,0.4912,0.0,0.4968,0.0,0.5064,0.0,0.3256,0.0,0.5184,0.0,0.5616,0.0,0.4336,0.0
26,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.2912,0.0,0.322133334,0.0,0.3712,0.0,0.4736,0.0,0.4752,0.0,0.4784,0.0,0.304,0.0,0.4872,0.0,0.5704,0.0,0.408,0.0
27,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.2752,0.0,0.3064,0.0,0.3616,0.0,0.4568,0.0,0.4592,0.0,0.4584,0.0,0.2824,0.0,0.4648,0.0,0.5824,0.0,0.3904,0.0
28,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.2624,0.0,0.293333334,0.0,0.3512,0.0,0.4448,0.0,0.444,0.0,0.448,0.0,0.2664,0.0,0.4496,0.0,0.596,0.0,0.3784,0.0
