,SKN Storage,ATG Storage,MSR Storage,GLP Storage,DMA Storage,MTQ Storage,LCA Storage,BRB Storage,SVG Storage,GRD Storage
0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
1,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.30000000000000426,-0.0,-0.0,-0.0
2,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.4000000000000057,0.5195898772328142,-0.0,-0.0
3,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
4,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.08582024553439282,0.11958987723281567,0.3827482697356235,-0.0
5,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
6,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
7,2.0539248782622224,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
8,24.32658324624946,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
9,40.52485914160796,-0.0,0.3563469387755095,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
10,45.0,70.0,1.6441530612244906,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
11,45.0,70.0,1.6084030612244904,58.26053018108405,0.3847611580334842,-0.0,-0.0,-0.0,-0.0,-0.0
12,45.0,70.0,1.5809030612244905,320.0,21.0,-0.0,-0.0,-0.0,-0.0,-0.0
13,45.0,70.0,1.6709030612244904,320.0,21.0,33.79534265067696,-0.0,-0.0,-0.0,-0.0
14,40.85737354378247,70.0,0.4288469387755095,320.0,21.0,240.0,74.7799602910024,190.0,15.37852854604759,-0.0
15,18.749694131087203,70.0,0.43159693877550953,320.0,21.0,230.43174959150292,75.0,167.8995898772328,30.0,-0.0
16,-0.0,36.923814762653166,0.38309693877550954,147.1026871227101,-0.0,87.86673785814642,31.10599362433655,61.23458987723281,30.0,-0.0
17,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
18,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
19,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
20,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
21,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
22,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
23,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
24,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
25,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
26,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
27,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
28,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
29,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
30,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
31,-0.0,-0.0,0.1203469387755095,11.350261239659176,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
32,13.29744255429565,67.45511879928426,-0.0,320.0,4.912298022719929,121.70317346899424,-0.0,-0.0,-0.0,-0.0
