,SaintKittsNevis,Antigua,Guadeloupe,Montserrat,Dominica,Martinique,SaintLucia,Barbados,SaintVincentGrenadines,Grenada,Antigua Hydrogen,Barbados Hydrogen,Martinique Hydrogen,SaintLucia Hydrogen,SaintVincentGrenadines Hydrogen,Grenada Hydrogen
0,-1.3322676295501878e-15,3.3306690738754696e-15,8.881784197001252e-15,2.7755575615628914e-17,0.0,-1.7763568394002505e-15,-1.176836406102666e-14,0.0,0.0,4.440892098500626e-16,0.0,0.0,0.0,0.0,0.0,0.0
1,-1.3322676295501878e-15,-3.552713678800501e-15,1.5987211554602254e-14,2.7755575615628914e-17,0.0,-5.329070518200751e-15,2.4424906541753444e-15,0.0,0.0,4.440892098500626e-16,0.0,0.0,0.0,0.0,0.0,0.0
2,-1.3322676295501878e-15,-1.1102230246251565e-15,8.881784197001252e-15,2.7755575615628914e-17,0.0,-1.7763568394002505e-15,2.4424906541753444e-15,0.0,0.0,4.440892098500626e-16,0.0,0.0,0.0,0.0,0.0,0.0
3,-1.3322676295501878e-15,-2.220446049250313e-16,1.5987211554602254e-14,2.7755575615628914e-17,8.881784197001252e-16,-1.7763568394002505e-15,2.4424906541753444e-15,0.0,0.0,4.440892098500626e-16,0.0,0.0,0.0,0.0,0.0,0.0
4,1.1102230246251565e-15,-2.220446049250313e-16,-8.881784197001252e-15,2.7755575615628914e-17,0.0,-1.7763568394002505e-15,2.4424906541753444e-15,0.0,0.0,4.440892098500626e-16,0.0,0.0,0.0,0.0,0.0,0.0
5,-6.938893903907228e-16,6.661338147750939e-16,1.5987211554602254e-14,2.7755575615628914e-17,-1.7763568394002505e-15,-5.329070518200751e-15,2.4424906541753444e-15,0.0,0.0,4.440892098500626e-16,0.0,0.0,0.0,0.0,0.0,0.0
6,-6.938893903907228e-16,1.5543122344752192e-15,-5.329070518200751e-15,2.7755575615628914e-17,8.881784197001252e-16,1.2434497875801753e-14,2.4424906541753444e-15,0.0,0.0,4.440892098500626e-16,0.0,0.0,0.0,0.0,0.0,0.0
7,-2.4702462297909733e-15,2.220446049250313e-16,8.881784197001252e-15,2.7755575615628914e-17,0.0,-1.7763568394002505e-15,2.4424906541753444e-15,0.0,4.440892098500626e-16,4.440892098500626e-16,0.0,0.0,0.0,0.0,0.0,0.0
8,1.0824674490095276e-15,-2.6645352591003757e-15,-5.329070518200751e-15,2.7755575615628914e-17,0.0,1.2434497875801753e-14,9.547918011776346e-15,0.0,4.440892098500626e-16,4.440892098500626e-16,0.0,0.0,0.0,0.0,0.0,0.0
9,-6.938893903907228e-16,1.1102230246251565e-14,-1.5987211554602254e-14,-1.942890293094024e-16,0.0,1.0658141036401503e-14,-4.6629367034256575e-15,0.0,4.440892098500626e-16,4.440892098500626e-16,0.0,0.0,0.0,0.0,0.0,0.0
10,2.858824288409778e-15,5.773159728050814e-15,-4.796163466380676e-14,-1.942890293094024e-16,0.0,2.6645352591003757e-14,2.4424906541753444e-15,-1.4210854715202004e-14,4.440892098500626e-16,-3.1086244689504383e-15,0.0,0.0,0.0,0.0,0.0,0.0
11,2.886579864025407e-15,-1.1546319456101628e-14,-1.5987211554602254e-14,2.498001805406602e-16,0.0,-8.881784197001252e-15,4.6629367034256575e-15,4.263256414560601e-14,-1.3322676295501878e-15,-3.1086244689504383e-15,0.0,0.0,0.0,0.0,0.0,0.0
12,-6.661338147750939e-16,-8.881784197001252e-15,7.638334409421077e-14,-1.942890293094024e-16,0.0,1.9539925233402755e-14,-2.4424906541753444e-15,5.684341886080802e-14,4.440892098500626e-16,-6.661338147750939e-15,0.0,0.0,0.0,0.0,0.0,0.0
13,6.661338147750939e-16,-7.993605777301127e-15,-1.5987211554602254e-14,-1.942890293094024e-16,-1.7763568394002505e-15,-1.1324274851176597e-14,-4.6629367034256575e-15,-4.263256414560601e-14,-1.3322676295501878e-15,-3.1086244689504383e-15,0.0,0.0,0.0,0.0,0.0,0.0
14,-4.246603069191224e-15,2.6645352591003757e-15,1.2434497875801753e-14,-1.942890293094024e-16,0.0,-1.2434497875801753e-14,2.4424906541753444e-15,-1.4210854715202004e-14,4.440892098500626e-16,4.440892098500626e-16,0.0,0.0,0.0,0.0,0.0,0.0
15,-6.938893903907228e-16,0.0,-1.5987211554602254e-14,2.7755575615628914e-17,0.0,-7.105427357601002e-15,2.4424906541753444e-15,0.0,4.440892098500626e-16,4.440892098500626e-16,0.0,0.0,0.0,0.0,0.0,0.0
16,-6.938893903907228e-16,-2.6645352591003757e-15,2.6645352591003757e-14,-1.942890293094024e-16,0.0,-1.7763568394002505e-15,-4.6629367034256575e-15,0.0,4.440892098500626e-16,2.220446049250313e-15,0.0,0.0,0.0,0.0,0.0,0.0
17,2.858824288409778e-15,-4.440892098500626e-15,2.3092638912203256e-14,2.7755575615628914e-17,0.0,-7.771561172376096e-15,-1.1102230246251565e-15,0.0,4.440892098500626e-16,3.9968028886505635e-15,0.0,0.0,0.0,0.0,0.0,0.0
18,-6.938893903907228e-16,-1.5543122344752192e-15,1.5987211554602254e-14,2.7755575615628914e-17,0.0,-6.661338147750939e-16,2.4424906541753444e-15,0.0,4.440892098500626e-16,4.440892098500626e-16,0.0,0.0,0.0,0.0,0.0,0.0
19,-6.938893903907228e-16,8.881784197001252e-16,2.4868995751603507e-14,-1.942890293094024e-16,0.0,-6.661338147750939e-16,6.661338147750939e-16,-5.329070518200751e-15,4.440892098500626e-16,4.440892098500626e-16,0.0,0.0,0.0,0.0,0.0,0.0
20,-6.938893903907228e-16,-5.329070518200751e-15,1.4210854715202004e-14,2.7755575615628914e-17,0.0,-6.661338147750939e-16,6.661338147750939e-16,1.7763568394002505e-15,4.440892098500626e-16,4.440892098500626e-16,0.0,0.0,0.0,0.0,0.0,0.0
21,-4.246603069191224e-15,1.1102230246251565e-15,2.842170943040401e-14,2.7755575615628914e-17,0.0,-6.661338147750939e-16,2.4424906541753444e-15,0.0,4.440892098500626e-16,4.440892098500626e-16,0.0,0.0,0.0,0.0,0.0,0.0
22,-6.938893903907228e-16,-1.9984014443252818e-15,1.2434497875801753e-14,2.7755575615628914e-17,0.0,-6.661338147750939e-16,-1.1102230246251565e-15,1.7763568394002505e-14,4.440892098500626e-16,-6.661338147750939e-15,0.0,0.0,0.0,0.0,0.0,0.0
23,-6.938893903907228e-16,2.220446049250313e-15,-5.329070518200751e-15,2.7755575615628914e-17,0.0,-6.661338147750939e-16,-1.1102230246251565e-15,-1.4210854715202004e-14,4.440892098500626e-16,-3.1086244689504383e-15,0.0,0.0,0.0,0.0,0.0,0.0
24,-6.938893903907228e-16,3.1086244689504383e-15,1.7763568394002505e-14,2.7755575615628914e-17,0.0,-6.661338147750939e-16,-1.1102230246251565e-15,0.0,4.440892098500626e-16,4.440892098500626e-16,0.0,0.0,0.0,0.0,0.0,0.0
25,-6.938893903907228e-16,-6.661338147750939e-16,-3.552713678800501e-15,2.7755575615628914e-17,0.0,-6.661338147750939e-16,-1.1102230246251565e-15,0.0,4.440892098500626e-16,4.440892098500626e-16,0.0,0.0,0.0,0.0,0.0,0.0
26,-6.938893903907228e-16,6.661338147750939e-16,5.329070518200751e-15,2.7755575615628914e-17,0.0,-6.661338147750939e-16,-1.1102230246251565e-15,0.0,4.440892098500626e-16,4.440892098500626e-16,0.0,0.0,0.0,0.0,0.0,0.0
27,-6.938893903907228e-16,2.220446049250313e-16,1.5987211554602254e-14,2.7755575615628914e-17,0.0,-6.661338147750939e-16,2.4424906541753444e-15,0.0,-1.3322676295501878e-15,4.440892098500626e-16,0.0,0.0,0.0,0.0,0.0,0.0
