name,bus0,bus1,efficiency,p_min_pu,p_nom_max,p_nom_extendable,length,capital_cost,carrier,build_year,p_nom_opt
SKN MSR link,SaintKittsNevis,Montserrat,1.0,-1.0,2.5,True,81.0,152895.6,AC,0,0.2131325094246492
MSR ATG link,Montserrat,Antigua,1.0,-1.0,2.5,True,54.0,101930.4,AC,0,2.5
ATG GLP link,Antigua,Guadeloupe,1.0,-1.0,60.0,True,92.0,173659.2,AC,0,3.4504875402124444
GLP DMA link,Guadeloupe,Dominica,1.0,-1.0,20.0,True,96.0,181209.6,AC,0,10.460169397492727
DMA MTQ link,Dominica,Martinique,1.0,-1.0,20.0,True,94.0,177434.4,AC,0,1.730528711327315
MTQ LCA link,Martinique,SaintLucia,1.0,-1.0,60.0,True,82.0,154783.2,AC,0,1.0626355326725634
LCA SVG link,SaintLucia,SaintVincentGrenadines,1.0,-1.0,25.0,True,44.0,83054.4,AC,0,-0.0
SCG GRD link,SaintVincentGrenadines,Grenada,1.0,-1.0,25.0,True,112.0,211411.2,AC,0,2.1045738319963365
SVG BRB link,SaintVincentGrenadines,Barbados,1.0,-1.0,25.0,True,170.0,320892.0,AC,0,10.132387531116336
LCA BRB link,SaintLucia,Barbados,1.0,-1.0,60.0,True,150.0,283140.0,AC,0,17.550687258374708
ATG Electrolyzer,Antigua,Antigua Hydrogen,0.7,0.0,70.0,True,0.0,85000.0,AC,0,8.259038818195354
ATG Fuel Cell,Antigua Hydrogen,Antigua,0.6,0.0,70.0,True,0.0,42500.0,AC,0,23.65911849910671
BRB Electrolyzer,Barbados,Barbados Hydrogen,0.7,0.0,190.0,True,0.0,85000.0,AC,0,16.865533726388897
BRB Fuel Cell,Barbados Hydrogen,Barbados,0.6,0.0,190.0,True,0.0,42500.0,AC,0,29.580809473920816
GLP Electrolyzer,Guadeloupe,Guadeloupe Hydrogen,0.7,0.0,320.0,True,0.0,85000.0,AC,0,26.241988861077974
GLP Fuel Cell,Guadeloupe Hydrogen,Guadeloupe,0.6,0.0,320.0,True,0.0,42500.0,AC,0,78.41631579221806
MTQ Electrolyzer,Martinique,Martinique Hydrogen,0.7,0.0,240.0,True,0.0,85000.0,AC,0,28.35840312530557
MTQ Fuel Cell,Martinique Hydrogen,Martinique,0.6,0.0,240.0,True,0.0,42500.0,AC,0,51.40062836695617
LCA Electrolyzer,SaintLucia,SaintLucia Hydrogen,0.7,0.0,75.0,True,0.0,85000.0,AC,0,13.506400052527567
LCA Fuel Cell,SaintLucia Hydrogen,SaintLucia,0.6,0.0,75.0,True,0.0,42500.0,AC,0,13.380902442001181
SVG Electrolyzer,SaintVincentGrenadines,SaintVincentGrenadines Hydrogen,0.7,0.0,30.0,True,0.0,85000.0,AC,0,3.2435657026206353
SVG Fuel Cell,SaintVincentGrenadines Hydrogen,SaintVincentGrenadines,0.6,0.0,30.0,True,0.0,42500.0,AC,0,3.28716209903657
GRD Electrolyzer,Grenada,Grenada Hydrogen,0.7,0.0,45.0,True,0.0,85000.0,AC,0,3.5176259616636685
GRD Fuel Cell,Grenada Hydrogen,Grenada,0.6,0.0,45.0,True,0.0,42500.0,AC,0,6.4319733737010525
SKN Electrolyzer,SaintKittsNevis,SaintKittsNevis Hydrogen,0.7,0.0,45.0,True,0.0,85000.0,AC,0,1.5511988474437817
SKN Fuel Cell,SaintKittsNevis Hydrogen,SaintKittsNevis,0.6,0.0,45.0,True,0.0,42500.0,AC,0,5.253891927991744
MSR Electrolyzer,Montserrat,Montserrat Hydrogen,0.7,0.0,3.0,True,0.0,85000.0,AC,0,-0.0
MSR Fuel Cell,Montserrat Hydrogen,Montserrat,0.6,0.0,3.0,True,0.0,42500.0,AC,0,-0.0
DMA Electrolyzer,Dominica,Dominica Hydrogen,0.7,0.0,21.0,True,0.0,85000.0,AC,0,-0.0
DMA Fuel Cell,Dominica Hydrogen,Dominica,0.6,0.0,21.0,True,0.0,42500.0,AC,0,-0.0
