name,bus0,bus1,efficiency,p_min_pu,p_nom_max,p_nom_extendable,length,capital_cost,carrier,build_year,p_nom_opt
ATG GLP link,Antigua,Guadeloupe,1.0,-1.0,60.0,True,92.0,86829.6,AC,0,8.39695554192194
SVG BRB link,SaintVincentGrenadines,Barbados,1.0,-1.0,25.0,True,170.0,160446.0,AC,0,17.701108817144334
LCA BRB link,SaintLucia,Barbados,1.0,-1.0,60.0,True,150.0,141570.0,AC,0,17.339552558059488
ATG Electrolyzer,Antigua,Antigua Hydrogen,0.7,0.0,70.0,True,0.0,85000.00043,AC,0,8.906944404405522
ATG Fuel Cell,Antigua Hydrogen,Antigua,0.6,0.0,70.0,True,0.0,42500.00022,AC,0,20.09400904492276
BRB Electrolyzer,Barbados,Barbados Hydrogen,0.7,0.0,190.0,True,0.0,85000.00043,AC,0,7.005047614371935
BRB Fuel Cell,Barbados Hydrogen,Barbados,0.6,0.0,190.0,True,0.0,42500.00022,AC,0,15.678931690362008
GLP Electrolyzer,Guadeloupe,Guadeloupe Hydrogen,0.7,0.0,320.0,True,0.0,85000.00043,AC,0,33.38799156958448
GLP Fuel Cell,Guadeloupe Hydrogen,Guadeloupe,0.6,0.0,320.0,True,0.0,42500.00022,AC,0,84.92137676700283
MTQ Electrolyzer,Martinique,Martinique Hydrogen,0.7,0.0,240.0,True,0.0,85000.00043,AC,0,25.108448415318453
MTQ Fuel Cell,Martinique Hydrogen,Martinique,0.6,0.0,240.0,True,0.0,42500.00022,AC,0,56.6280828577423
LCA Electrolyzer,SaintLucia,SaintLucia Hydrogen,0.7,0.0,75.0,True,0.0,85000.00043,AC,0,13.058942836064503
LCA Fuel Cell,SaintLucia Hydrogen,SaintLucia,0.6,0.0,75.0,True,0.0,42500.00022,AC,0,14.68683224009187
SVG Electrolyzer,SaintVincentGrenadines,SaintVincentGrenadines Hydrogen,0.7,0.0,30.0,True,0.0,85000.00043,AC,0,7.021910961145472
SVG Fuel Cell,SaintVincentGrenadines Hydrogen,SaintVincentGrenadines,0.6,0.0,30.0,True,0.0,42500.00022,AC,0,7.35002587068504
GRD Electrolyzer,Grenada,Grenada Hydrogen,0.7,0.0,45.0,True,0.0,85000.00043,AC,0,2.6047118322193774
GRD Fuel Cell,Grenada Hydrogen,Grenada,0.6,0.0,45.0,True,0.0,42500.00022,AC,0,6.3838460825859
SKN Electrolyzer,SaintKittsNevis,SaintKittsNevis Hydrogen,0.7,0.0,45.0,True,0.0,85000.00043,AC,0,1.532605427079962
SKN Fuel Cell,SaintKittsNevis Hydrogen,SaintKittsNevis,0.6,0.0,45.0,True,0.0,42500.00022,AC,0,5.671188350912484
MSR Electrolyzer,Montserrat,Montserrat Hydrogen,0.7,0.0,3.0,True,0.0,85000.00043,AC,0,0.06660877720014836
MSR Fuel Cell,Montserrat Hydrogen,Montserrat,0.6,0.0,3.0,True,0.0,42500.00022,AC,0,0.2025519710513081
DMA Electrolyzer,Dominica,Dominica Hydrogen,0.7,0.0,21.0,True,0.0,85000.00043,AC,0,-0.0
DMA Fuel Cell,Dominica Hydrogen,Dominica,0.6,0.0,21.0,True,0.0,42500.00022,AC,0,-0.0
