name,bus0,bus1,efficiency,p_min_pu,p_nom_max,p_nom_extendable,length,capital_cost,carrier,build_year,p_nom_opt
ATG GLP link,Antigua,Guadeloupe,1.0,-1.0,60.0,True,92.0,173659.2,AC,0,5.338865663913875
SVG BRB link,SaintVincentGrenadines,Barbados,1.0,-1.0,25.0,True,170.0,320892.0,AC,0,9.319744877333461
LCA BRB link,SaintLucia,Barbados,1.0,-1.0,60.0,True,150.0,283140.0,AC,0,16.998319638795557
ATG Electrolyzer,Antigua,Antigua Hydrogen,0.7,0.0,70.0,True,0.0,56666.66695,AC,0,8.324700382575433
ATG Fuel Cell,Antigua Hydrogen,Antigua,0.6,0.0,70.0,True,0.0,28333.33348,AC,0,23.298344196315018
BRB Electrolyzer,Barbados,Barbados Hydrogen,0.7,0.0,190.0,True,0.0,56666.66695,AC,0,19.68751576351453
BRB Fuel Cell,Barbados Hydrogen,Barbados,0.6,0.0,190.0,True,0.0,28333.33348,AC,0,31.158514137478047
GLP Electrolyzer,Guadeloupe,Guadeloupe Hydrogen,0.7,0.0,320.0,True,0.0,56666.66695,AC,0,34.62391705532289
GLP Fuel Cell,Guadeloupe Hydrogen,Guadeloupe,0.6,0.0,320.0,True,0.0,28333.33348,AC,0,83.0421988937026
MTQ Electrolyzer,Martinique,Martinique Hydrogen,0.7,0.0,240.0,True,0.0,56666.66695,AC,0,31.27619726256729
MTQ Fuel Cell,Martinique Hydrogen,Martinique,0.6,0.0,240.0,True,0.0,28333.33348,AC,0,61.37429947886695
LCA Electrolyzer,SaintLucia,SaintLucia Hydrogen,0.7,0.0,75.0,True,0.0,56666.66695,AC,0,14.119206752727854
LCA Fuel Cell,SaintLucia Hydrogen,SaintLucia,0.6,0.0,75.0,True,0.0,28333.33348,AC,0,14.163866064659254
SVG Electrolyzer,SaintVincentGrenadines,SaintVincentGrenadines Hydrogen,0.7,0.0,30.0,True,0.0,56666.66695,AC,0,4.435311790105724
SVG Fuel Cell,SaintVincentGrenadines Hydrogen,SaintVincentGrenadines,0.6,0.0,30.0,True,0.0,28333.33348,AC,0,4.9488457985900665
GRD Electrolyzer,Grenada,Grenada Hydrogen,0.7,0.0,45.0,True,0.0,56666.66695,AC,0,3.543821208853536
GRD Fuel Cell,Grenada Hydrogen,Grenada,0.6,0.0,45.0,True,0.0,28333.33348,AC,0,7.297856606572895
SKN Electrolyzer,SaintKittsNevis,SaintKittsNevis Hydrogen,0.7,0.0,45.0,True,0.0,56666.66695,AC,0,4.432389138719571
SKN Fuel Cell,SaintKittsNevis Hydrogen,SaintKittsNevis,0.6,0.0,45.0,True,0.0,28333.33348,AC,0,8.336897553959334
MSR Electrolyzer,Montserrat,Montserrat Hydrogen,0.7,0.0,3.0,True,0.0,56666.66695,AC,0,0.10327667294062767
MSR Fuel Cell,Montserrat Hydrogen,Montserrat,0.6,0.0,3.0,True,0.0,28333.33348,AC,0,0.22181429665546526
DMA Electrolyzer,Dominica,Dominica Hydrogen,0.7,0.0,21.0,True,0.0,56666.66695,AC,0,-0.0
DMA Fuel Cell,Dominica Hydrogen,Dominica,0.6,0.0,21.0,True,0.0,28333.33348,AC,0,-0.0
