name,bus0,bus1,efficiency,p_min_pu,p_nom_max,p_nom_extendable,length,capital_cost,carrier,build_year,p_nom_opt
ATG GLP link,Antigua,Guadeloupe,1.0,-1.0,60.0,True,92.0,86829.6,AC,0,12.512474754013455
SVG BRB link,SaintVincentGrenadines,Barbados,1.0,-1.0,25.0,True,170.0,160446.0,AC,0,12.824725539070414
LCA BRB link,SaintLucia,Barbados,1.0,-1.0,60.0,True,150.0,141570.0,AC,0,21.418227130899485
ATG Electrolyzer,Antigua,Antigua Hydrogen,0.7,0.0,70.0,True,0.0,170000.0009,AC,0,2.9885927524938216
ATG Fuel Cell,Antigua Hydrogen,Antigua,0.6,0.0,70.0,True,0.0,85000.00044,AC,0,27.209213379547577
BRB Electrolyzer,Barbados,Barbados Hydrogen,0.7,0.0,190.0,True,0.0,170000.0009,AC,0,7.92488815384089
BRB Fuel Cell,Barbados Hydrogen,Barbados,0.6,0.0,190.0,True,0.0,85000.00044,AC,0,23.90427105376968
GLP Electrolyzer,Guadeloupe,Guadeloupe Hydrogen,0.7,0.0,320.0,True,0.0,170000.0009,AC,0,8.133718708373626
GLP Fuel Cell,Guadeloupe Hydrogen,Guadeloupe,0.6,0.0,320.0,True,0.0,85000.00044,AC,0,77.29064347279672
MTQ Electrolyzer,Martinique,Martinique Hydrogen,0.7,0.0,240.0,True,0.0,170000.0009,AC,0,12.875113693434004
MTQ Fuel Cell,Martinique Hydrogen,Martinique,0.6,0.0,240.0,True,0.0,85000.00044,AC,0,47.430935887670856
LCA Electrolyzer,SaintLucia,SaintLucia Hydrogen,0.7,0.0,75.0,True,0.0,170000.0009,AC,0,4.853442524637424
LCA Fuel Cell,SaintLucia Hydrogen,SaintLucia,0.6,0.0,75.0,True,0.0,85000.00044,AC,0,8.131065208185658
SVG Electrolyzer,SaintVincentGrenadines,SaintVincentGrenadines Hydrogen,0.7,0.0,30.0,True,0.0,170000.0009,AC,0,1.356112385268504
SVG Fuel Cell,SaintVincentGrenadines Hydrogen,SaintVincentGrenadines,0.6,0.0,30.0,True,0.0,85000.00044,AC,0,2.246422347479399
GRD Electrolyzer,Grenada,Grenada Hydrogen,0.7,0.0,45.0,True,0.0,170000.0009,AC,0,0.430661718404564
GRD Fuel Cell,Grenada Hydrogen,Grenada,0.6,0.0,45.0,True,0.0,85000.00044,AC,0,2.223970108954694
SKN Electrolyzer,SaintKittsNevis,SaintKittsNevis Hydrogen,0.7,0.0,45.0,True,0.0,170000.0009,AC,0,0.03539916353228091
SKN Fuel Cell,SaintKittsNevis Hydrogen,SaintKittsNevis,0.6,0.0,45.0,True,0.0,85000.00044,AC,0,2.5344466798542635
MSR Electrolyzer,Montserrat,Montserrat Hydrogen,0.7,0.0,3.0,True,0.0,170000.0009,AC,0,0.009706362284181197
MSR Fuel Cell,Montserrat Hydrogen,Montserrat,0.6,0.0,3.0,True,0.0,85000.00044,AC,0,0.08735229269614195
DMA Electrolyzer,Dominica,Dominica Hydrogen,0.7,0.0,21.0,True,0.0,170000.0009,AC,0,-0.0
DMA Fuel Cell,Dominica Hydrogen,Dominica,0.6,0.0,21.0,True,0.0,85000.00044,AC,0,-0.0
