name,bus0,bus1,efficiency,p_min_pu,p_nom_max,p_nom_extendable,length,capital_cost,carrier,build_year,p_nom_opt
ATG GLP link,Antigua,Guadeloupe,1.0,-1.0,60.0,True,92.0,86829.6,AC,0,15.317291271644232
SVG BRB link,SaintVincentGrenadines,Barbados,1.0,-1.0,25.0,True,170.0,160446.0,AC,0,21.239895102825987
LCA BRB link,SaintLucia,Barbados,1.0,-1.0,60.0,True,150.0,141570.0,AC,0,35.127277749038484
ATG Electrolyzer,Antigua,Antigua Hydrogen,0.7,0.0,70.0,True,0.0,170000.0009,AC,0,1.795922417657359
ATG Fuel Cell,Antigua Hydrogen,Antigua,0.6,0.0,70.0,True,0.0,85000.00044,AC,0,18.53637837258571
BRB Electrolyzer,Barbados,Barbados Hydrogen,0.7,0.0,190.0,True,0.0,170000.0009,AC,0,7.440497614203919
BRB Fuel Cell,Barbados Hydrogen,Barbados,0.6,0.0,190.0,True,0.0,85000.00044,AC,0,42.13332146278592
GLP Electrolyzer,Guadeloupe,Guadeloupe Hydrogen,0.7,0.0,320.0,True,0.0,170000.0009,AC,0,10.473532890732972
GLP Fuel Cell,Guadeloupe Hydrogen,Guadeloupe,0.6,0.0,320.0,True,0.0,85000.00044,AC,0,89.72357508845913
MTQ Electrolyzer,Martinique,Martinique Hydrogen,0.7,0.0,240.0,True,0.0,170000.0009,AC,0,15.72425129265028
MTQ Fuel Cell,Martinique Hydrogen,Martinique,0.6,0.0,240.0,True,0.0,85000.00044,AC,0,66.23464796493789
LCA Electrolyzer,SaintLucia,SaintLucia Hydrogen,0.7,0.0,75.0,True,0.0,170000.0009,AC,0,1.886711678071614
LCA Fuel Cell,SaintLucia Hydrogen,SaintLucia,0.6,0.0,75.0,True,0.0,85000.00044,AC,0,3.5828145247789402
SVG Electrolyzer,SaintVincentGrenadines,SaintVincentGrenadines Hydrogen,0.7,0.0,30.0,True,0.0,170000.0009,AC,0,3.4246321194090963
SVG Fuel Cell,SaintVincentGrenadines Hydrogen,SaintVincentGrenadines,0.6,0.0,30.0,True,0.0,85000.00044,AC,0,7.244602534093192
GRD Electrolyzer,Grenada,Grenada Hydrogen,0.7,0.0,45.0,True,0.0,170000.0009,AC,0,1.940359506733598
GRD Fuel Cell,Grenada Hydrogen,Grenada,0.6,0.0,45.0,True,0.0,85000.00044,AC,0,5.659891390913235
SKN Electrolyzer,SaintKittsNevis,SaintKittsNevis Hydrogen,0.7,0.0,45.0,True,0.0,170000.0009,AC,0,0.4451509735732124
SKN Fuel Cell,SaintKittsNevis Hydrogen,SaintKittsNevis,0.6,0.0,45.0,True,0.0,85000.00044,AC,0,5.418262906344418
MSR Electrolyzer,Montserrat,Montserrat Hydrogen,0.7,0.0,3.0,True,0.0,170000.0009,AC,0,0.014192915870812515
MSR Fuel Cell,Montserrat Hydrogen,Montserrat,0.6,0.0,3.0,True,0.0,85000.00044,AC,0,0.14299833545728932
DMA Electrolyzer,Dominica,Dominica Hydrogen,0.7,0.0,21.0,True,0.0,170000.0009,AC,0,-0.0
DMA Fuel Cell,Dominica Hydrogen,Dominica,0.6,0.0,21.0,True,0.0,85000.00044,AC,0,-0.0
